stage,category,count,stage_total,pct_stage
recovery,digital,22,1728,1.2731481481481481
recovery,meal,604,1728,34.9537037037037
recovery,mobility,99,1728,5.729166666666666
recovery,other,589,1728,34.085648148148145
recovery,sleep,414,1728,23.958333333333336
shock,digital,17,1728,0.9837962962962963
shock,meal,540,1728,31.25
shock,mobility,103,1728,5.960648148148148
shock,other,659,1728,38.136574074074076
shock,sleep,409,1728,23.66898148148148
steady,digital,19,1728,1.099537037037037
steady,meal,507,1728,29.34027777777778
steady,mobility,87,1728,5.034722222222222
steady,other,612,1728,35.41666666666667
steady,sleep,503,1728,29.108796296296298
