day,agent_id,total,meal_count,meal_pct,sleep_count,other_count,mobility_count
0,500019134,18,10,55.56,4,4,0
0,500022131,18,7,38.89,5,5,1
0,500033414,18,8,44.44,5,5,0
0,500038614,18,9,50.0,3,6,0
0,500055517,18,5,27.78,6,7,0
0,500055778,18,9,50.0,2,7,0
1,500019134,24,11,45.83,8,5,0
1,500022131,24,12,50.0,7,5,0
1,500033414,24,8,33.33,9,7,0
1,500038614,24,14,58.33,5,5,0
1,500055517,24,13,54.17,4,6,1
1,500055778,24,12,50.0,3,8,1
2,500019134,24,9,37.5,11,4,0
2,500022131,24,8,33.33,9,7,0
2,500033414,24,14,58.33,3,7,0
2,500038614,24,9,37.5,8,7,0
2,500055517,24,7,29.17,7,10,0
2,500055778,24,14,58.33,8,2,0
3,500019134,24,10,41.67,8,6,0
3,500022131,24,10,41.67,11,3,0
3,500033414,24,9,37.5,5,10,0
3,500038614,24,12,50.0,6,5,1
3,500055517,24,15,62.5,4,5,0
3,500055778,24,14,58.33,4,6,0
4,500019134,24,13,54.17,5,5,1
4,500022131,24,10,41.67,7,7,0
4,500023827,7,4,57.14,1,2,0
4,500025041,1,0,0.0,0,1,0
4,500033414,24,5,20.83,5,14,0
4,500038614,24,9,37.5,6,9,0
4,500055517,16,4,25.0,4,8,0
4,500055778,24,12,50.0,7,5,0
5,500007323,12,4,33.33,0,7,1
5,500019134,24,12,50.0,8,4,0
5,500022131,24,13,54.17,5,6,0
5,500023827,4,0,0.0,1,2,1
5,500033414,24,11,45.83,5,8,0
5,500038614,24,7,29.17,12,5,0
5,500055517,8,2,25.0,1,5,0
5,500055778,24,10,41.67,6,8,0
6,500019134,6,2,33.33,1,3,0
6,500022131,6,3,50.0,2,1,0
6,500033414,6,1,16.67,3,1,1
6,500038614,6,5,83.33,0,1,0
6,500055517,6,4,66.67,0,2,0
6,500055778,6,4,66.67,0,2,0
