attempt_uid,agent_id,day,t,step_intention,key,action_same,action_prev,action_next,match_same,match_prev,match_next
fbef2127-0023401-001-0001,1,0,23401.0,Review shopping list and prioritize items,1|0|23401.0,Get dressed in comfortable clothes suitable for shopping,Review shopping list and prioritize items,Check weather conditions to ensure safety while shopping,False,True,False
fbef2127-0030601-001-0002,1,0,30601.0,Use a shopping app to locate deals and coupons,1|0|30601.0,Access the financial account login page,Use a shopping app to locate deals and coupons,Navigate to the account settings or security section,False,True,False
fbef2127-0032401-001-0003,1,0,32401.0,Access the financial account login page,1|0|32401.0,Navigate to the account settings or security section,Access the financial account login page,Select the option to enable two-factor authentication,False,True,False
fbef2127-0034201-001-0004,1,0,34201.0,Navigate to the account settings or security section,1|0|34201.0,Select the option to enable two-factor authentication,Navigate to the account settings or security section,Follow the on-screen instructions to verify account ownership,False,True,False
fbef2127-0036001-001-0005,1,0,36001.0,Select the option to enable two-factor authentication,1|0|36001.0,Follow the on-screen instructions to verify account ownership,Select the option to enable two-factor authentication,Enter the verification code received on the phone,False,True,False
fbef2127-0037801-001-0006,1,0,37801.0,Follow the on-screen instructions to verify account ownership,1|0|37801.0,Enter the verification code received on the phone,Follow the on-screen instructions to verify account ownership,Complete the setup process and confirm the changes,False,True,False
fbef2127-0039601-001-0007,1,0,39601.0,Enter the verification code received on the phone,1|0|39601.0,Complete the setup process and confirm the changes,Enter the verification code received on the phone,Check the refrigerator for available ingredients,False,True,False
fbef2127-0041401-001-0008,1,0,41401.0,Complete the setup process and confirm the changes,1|0|41401.0,Check the refrigerator for available ingredients,Complete the setup process and confirm the changes,Select a simple meal recipe based on available ingredients,False,True,False
fbef2127-0116201-001-0009,1,1,16201.0,Ensure the phone is on silent mode to avoid disturbances,1|1|16201.0,Lie down in the bed with intention to sleep,Ensure the phone is on silent mode to avoid disturbances,Practice relaxation techniques if needed to ease into sleep,False,True,False
fbef2127-0136001-001-0010,1,1,36001.0,Prepare a shopping list based on the review,1|1|36001.0,Prepare a shopping list based on the review,Prepare a shopping list based on the review,Prepare a shopping list based on the review,True,True,True
fbef2127-0137801-001-0011,1,1,37801.0,Prepare a shopping list based on the review,1|1|37801.0,Prepare a shopping list based on the review,Prepare a shopping list based on the review,Check the local stores' opening hours and choose the nearest one,True,True,False
