world_name,day,group_id,config_fingerprint,utility_profile,row_count,policy_payload_count,control_payload_count,policy_payload_coverage,control_payload_coverage,uses_post_outcome_information_true_count,all_uses_post_outcome_information_false,strategy_changed_count,all_strategy_unchanged,semantic_fallback_count,semantic_fallback_rate,rule_fallback_count,rule_fallback_rate,safety_guard_fallback_count,safety_guard_fallback_rate,intervention_applied_count,intervention_applied_rate,mean_total_variation_distance,max_total_variation_distance,ignored_post_outcome_fields_seen_count,mean_pi_attempt,mean_pi_help,mean_pi_avoid,mean_shadow_top_prob,actual_shadow_top_match_rate,c_hat_before_mean,c_hat_after_mean,c_hat_before_pi_avoid_corr,c_hat_after_pi_avoid_corr_post_update_audit,actual_attempt_share,shadow_top_attempt_share,mean_confidence_attempt,mean_entropy_attempt,mean_pi_prior_attempt,mean_pi_llm_attempt,mean_pi_semantic_attempt,mean_pi_ref_attempt,mean_pi_bayes_attempt,mean_pi_final_attempt,mean_semantic_delta_attempt,mean_delta_applied_attempt,mean_bayesian_shift_before_floor_attempt,mean_final_delta_after_floor_attempt,actual_help_share,shadow_top_help_share,mean_confidence_help,mean_entropy_help,mean_pi_prior_help,mean_pi_llm_help,mean_pi_semantic_help,mean_pi_ref_help,mean_pi_bayes_help,mean_pi_final_help,mean_semantic_delta_help,mean_delta_applied_help,mean_bayesian_shift_before_floor_help,mean_final_delta_after_floor_help,actual_avoid_share,shadow_top_avoid_share,mean_confidence_avoid,mean_entropy_avoid,mean_pi_prior_avoid,mean_pi_llm_avoid,mean_pi_semantic_avoid,mean_pi_ref_avoid,mean_pi_bayes_avoid,mean_pi_final_avoid,mean_semantic_delta_avoid,mean_delta_applied_avoid,mean_bayesian_shift_before_floor_avoid,mean_final_delta_after_floor_avoid
baseline_low_friction,0,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,118,118,118,1.0,1.0,0,1,118,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3343996062,0.3618633485,0.3037370453,0.3618633485,0.3983050847,0.4788135593,0.46031083,-0.0338516361,-0.1412717286,0.2711864407,0.0,0.0,0.7655078683,0.34,0.18,0.26,0.26,0.3343996062,0.26,-0.08,0.0,0.0,0.0,0.3983050847,1.0,0.0,0.5707187719,0.33,0.57,0.45,0.45,0.3618633485,0.45,0.12,0.0,0.0,0.0,0.3305084746,0.0,0.0474576271,0.220255193,0.33,0.25,0.29,0.29,0.3037370453,0.29,-0.04,0.0,0.0,0.0
baseline_low_friction,1,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,114,114,114,1.0,1.0,0,1,114,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3327297871,0.3750160961,0.2922541168,0.3862728441,0.3421052632,0.4601014995,0.4153282758,-0.5196065791,-0.4935200862,0.3333333333,0.2456140351,0.0543859649,0.7583745412,0.34,0.18,0.26,0.26,0.3327297871,0.26,-0.08,0.0,0.0,0.0,0.3859649123,0.7543859649,0.0684210526,0.5569492386,0.33,0.57,0.45,0.45,0.3750160961,0.45,0.12,0.0,0.0,0.0,0.2807017544,0.0,0.0920634921,0.2013487698,0.33,0.25,0.29,0.29,0.2922541168,0.29,-0.04,0.0,0.0,0.0
baseline_low_friction,2,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,119,119,119,1.0,1.0,0,1,119,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3322743681,0.3774063015,0.2903193304,0.3897939395,0.3193277311,0.4372896158,0.421380318,-0.4828400679,-0.3122945114,0.3865546218,0.2352941176,0.0767507003,0.7554706756,0.34,0.18,0.26,0.26,0.3322743681,0.26,-0.08,0.0,0.0,0.0,0.3109243697,0.7647058824,0.1070028011,0.5500541964,0.33,0.57,0.45,0.45,0.3774063015,0.45,0.12,0.0,0.0,0.0,0.3025210084,0.0,0.1121248499,0.1933180336,0.33,0.25,0.29,0.29,0.2903193304,0.29,-0.04,0.0,0.0,0.0
baseline_low_friction,3,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,117,117,117,1.0,1.0,0,1,117,0,1,0.0085470085,0,0.0,0,0.0,1,0.0085470085,7.50408e-05,0.0087797755,0,0.3342116269,0.3725418437,0.2932465294,0.3850395322,0.4273504274,0.4368161483,0.4173962246,-0.4888270257,-0.3198955158,0.2991452991,0.2393162393,0.0854700855,0.7538619678,0.34,0.1813105413,0.2606837607,0.2606837607,0.3342116269,0.2607112404,-0.0793162393,0.0,2.74797e-05,2.74797e-05,0.4444444444,0.7521367521,0.0826210826,0.5541603969,0.33,0.567977208,0.448974359,0.448974359,0.3725418437,0.4490219201,0.118974359,0.0,4.75611e-05,4.75611e-05,0.2564102564,0.0085470085,0.108954009,0.194691311,0.33,0.2507122507,0.2903418803,0.2903418803,0.2932465294,0.2902668395,-0.0396581197,-0.0001044003,-7.50408e-05,-7.50408e-05
baseline_low_friction,4,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,113,113,113,1.0,1.0,0,1,113,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3299268267,0.3879219493,0.282151224,0.4043779679,0.3805309735,0.4509285216,0.4253273266,-0.6187802247,-0.6111543495,0.2654867257,0.3451327434,0.0908554572,0.7536533333,0.34,0.18,0.26,0.26,0.3299268267,0.26,-0.08,0.0,0.0,0.0,0.5044247788,0.6548672566,0.1439528024,0.5425200672,0.33,0.57,0.45,0.45,0.3879219493,0.45,0.12,0.0,0.0,0.0,0.2300884956,0.0,0.1201854193,0.1896344793,0.33,0.25,0.29,0.29,0.282151224,0.29,-0.04,0.0,0.0,0.0
baseline_low_friction,5,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,112,112,112,1.0,1.0,0,1,112,0,2,0.0178571429,0,0.0,0,0.0,2,0.0178571429,0.0001537643,0.0103598107,0,0.32602146,0.3962935274,0.2776850126,0.4073592333,0.3839285714,0.4291598265,0.4110980659,-0.7445308394,-0.7023272417,0.2232142857,0.2232142857,0.1541666667,0.7458989962,0.34,0.1827380952,0.2614285714,0.2614285714,0.32602146,0.2614171342,-0.0785714286,0.0,-1.14372e-05,-1.14372e-05,0.5089285714,0.75,0.1916666667,0.5325617285,0.33,0.5657738095,0.4478571429,0.4478571429,0.3962935274,0.4478373477,0.1178571429,0.0,-1.97951e-05,-1.97951e-05,0.2678571429,0.0267857143,0.155952381,0.1768431844,0.33,0.2514880952,0.2907142857,0.2907142857,0.2776850126,0.290745518,-0.0392857143,4.67443e-05,3.12323e-05,3.12323e-05
baseline_low_friction,6,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,116,116,116,1.0,1.0,0,1,116,0,0,0.0,0,0.0,0,0.0,5,0.0431034483,0.0003542714,0.0145823281,0,0.3266966397,0.4035687753,0.2697345849,0.4226022251,0.4137931034,0.4147738039,0.4025060671,-0.7775190532,-0.7178470118,0.3103448276,0.3103448276,0.2055829228,0.7373069781,0.34,0.1801419878,0.2600709939,0.2600709939,0.3266966397,0.2602007271,-0.0799290061,0.0,0.0001297332,0.0001297332,0.3965517241,0.6724137931,0.2720032841,0.5176970902,0.33,0.567474645,0.4487373225,0.4487373225,0.4035687753,0.4489618608,0.1187373225,0.0,0.0002245382,0.0002245382,0.2931034483,0.0172413793,0.2103858785,0.1554250811,0.33,0.2523833671,0.2911916836,0.2911916836,0.2697345849,0.2908374121,-0.0388083164,-0.0004920184,-0.0003542714,-0.0003542714
baseline_low_friction,7,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,117,117,117,1.0,1.0,0,1,117,0,1,0.0085470085,0,0.0,0,0.0,17,0.1452991453,0.0017565908,0.0337886226,0,0.3287631502,0.4007575602,0.2704792896,0.4174531946,0.4444444444,0.3823276182,0.3757882162,-0.7119615666,-0.6923926528,0.2393162393,0.2307692308,0.2538054538,0.7316386834,0.34,0.1813105413,0.2606837607,0.2606837607,0.3287631502,0.2610546273,-0.0793162393,0.0,0.0003708666,0.0003708666,0.4871794872,0.7435897436,0.2881969882,0.5164927057,0.33,0.567977208,0.448974359,0.448974359,0.4007575602,0.4492383243,0.118974359,-0.0003109246,0.0002639653,0.0002639653,0.2735042735,0.0256410256,0.2673450007,0.1346618646,0.33,0.2507122507,0.2903418803,0.2903418803,0.2704792896,0.2897070484,-0.0396581197,-0.0010241465,-0.000634832,-0.000634832
baseline_low_friction,8,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,125,125,125,1.0,1.0,0,1,125,0,0,0.0,0,0.0,0,0.0,33,0.264,0.0040945328,0.0419937383,0,0.3280608539,0.4046433359,0.2672958103,0.4217817465,0.416,0.3837287319,0.3744837249,-0.7131662269,-0.7059679001,0.232,0.248,0.2448761905,0.7321968862,0.34,0.18,0.26,0.26,0.3280608539,0.261504562,-0.08,0.0013999451,0.001504562,0.001504562,0.416,0.728,0.327631746,0.5119354113,0.33,0.57,0.45,0.45,0.4046433359,0.4490616379,0.12,-0.001065531,-0.0009383621,-0.0009383621,0.352,0.024,0.2727873016,0.1320071112,0.33,0.25,0.29,0.29,0.2672958103,0.2894338,-0.04,-0.0007102828,-0.0005662,-0.0005662
baseline_low_friction,9,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,112,112,112,1.0,1.0,0,1,112,0,0,0.0,0,0.0,0,0.0,35,0.3125,0.0050170077,0.0429293562,0,0.3223627602,0.4070909019,0.2705463379,0.4163933007,0.4196428571,0.3701485766,0.3560659562,-0.6849580549,-0.6561767074,0.2767857143,0.2232142857,0.2330782313,0.7343844735,0.34,0.1800763588,0.2600381794,0.2600381794,0.3223627602,0.2622849458,-0.0799618206,0.0017738563,0.0022467664,0.0022467664,0.4464285714,0.7678571429,0.3443735828,0.5088206838,0.33,0.568578343,0.4492891715,0.4492891715,0.4070909019,0.4483450428,0.1192891715,-0.0017600047,-0.0009441287,-0.0009441287,0.2767857143,0.0089285714,0.2673752834,0.1359792942,0.33,0.2513452982,0.2906726491,0.2906726491,0.2705463379,0.2893700114,-0.0393273509,-0.0018756788,-0.0013026377,-0.0013026377
