attempt_uid,exp_id,stage_index,day,t,step,attempt_seq_in_step,agent_id,emitted,outcome,scenario,message,roll,total_event_prob,p_negative_interval,p_positive_interval,hazard_p_total,hazard_r_negative,scenario_entry_reason,source,llm_status,digital_exposure,scenario_aligned,status_gate_reason,first_gate_reason,first_gate_top_score,first_gate_top_gap,attempt_detail_available,note
7889369e-0001,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,25201,25201,1,3,1,negative,ride_hailing,打车遇流程繁琐，验证屡屡失败，便捷计划受阻，情绪低落。,0.06289895199354012,0.439492383474659,0.1471718466720139,0.2923205368026451,0.439492383474659,0.3348677979546824,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0002,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,27001,27001,1,1,1,positive,ride_hailing,轻松出行，一步叫车，成功体验老友般便捷服务。,0.39464293258120975,0.3313889192917807,0.07069345100911126,0.2606954682826695,0.3313889192917807,0.2133247278158604,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0003,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,27001,27001,2,6,1,negative,ride_hailing,打车遇流程卡壳，屡试不爽，心情受挫。,0.006518601416265479,0.18333514264286002,0.027973451265996836,0.15536169137686318,0.18333514264286002,0.152580955635383,matched,hybrid,ok,True,True,not_applicable,matched,3,2,1,
7889369e-0004,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,27001,27001,3,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0005,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,27001,27001,4,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0006,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,28801,28801,1,2,1,negative,account_auth_security,输入过程中，验证中断，身心俱疲。轻柔活动，舒缓身心。,0.00944385872829967,0.28288602663960905,0.0716196664811484,0.21126636015846062,0.28288602663960905,0.25317498828738677,matched,hybrid,ok,True,True,not_applicable,matched,5,2,1,
7889369e-0007,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,28801,28801,2,6,1,positive,ride_hailing,一键开启，便捷出行，成功叫车，轻松超市行。,0.06573904129570085,0.157464037633412,0.024498510082060155,0.13296552755135183,0.157464037633412,0.15558162009724733,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0008,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,28801,28801,3,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0009,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,30601,30601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0010,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,32401,32401,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0011,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,32401,32401,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0012,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,45001,45001,1,3,1,positive,social_contact_coordination,联系亲友沟通流畅，但共享情感尝试未果。,0.5163534959129382,0.44999999999999996,0.3646641335857264,0.08533586641427357,0.44999999999999996,0.8103647413016143,matched,hybrid,ok,True,True,not_applicable,matched,4,3,1,
7889369e-0013,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,46801,46801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0014,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,48601,48601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0015,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,50401,50401,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0016,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,52201,52201,1,3,1,negative,ride_hailing,打车流程复杂，屡试不爽，情绪受挫。,0.013242121128867912,0.28780818338259295,0.07094039460222956,0.2168677887803634,0.28780818338259295,0.24648498096360988,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0017,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,57601,57601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0018,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,59401,59401,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0019,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,61201,61201,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0020,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,63001,63001,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
