step,decision_attempt_count,no_event_count,event_emitted_count,decision_coverage_rate,scenario_pre_match_miss_count,scenario_skip_count,status_gate_attempt_count,status_gate_hit_count,hybrid_applied_count,rule_fallback_count,llm_calls_this_step,digital_exposure_count
23401,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0
25201,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0
27001,6.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,5.0,3.0
28801,6.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
30601,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0
32401,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
34201,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
37801,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
39601,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
41401,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
43201,3.0,3.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
45001,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0
46801,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
48601,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
50401,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
54001,1.0,1.0,0.0,0.166666666666667,6.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
57601,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
59401,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0
61201,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
63001,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0
64801,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0
66601,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
72001,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
79201,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
84601,3.0,3.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0
100001,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
101801,3.0,3.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0
107201,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
110801,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
112601,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
114401,3.0,3.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0
116201,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
118001,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
119801,2.0,2.0,0.0,0.333333333333333,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
121601,1.0,1.0,0.0,0.166666666666667,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
