group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
exp_20260509_bayesian_control_10d_60min,0,101,0,baseline_low_friction,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p000_baseline_low_friction_20260509_010713,7caa8f2a-2c29-4a00-9529-6e64dd245c89,101,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p000_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-09T01:07:13,2026-05-09T01:22:26,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,0,101,1,high_friction_low_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p000_high_friction_low_assist_20260509_012226,53d48270-9766-4701-9251-44eb27b2b899,101,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p000_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-09T01:22:26,2026-05-09T01:38:35,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,0,101,2,high_friction_high_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p000_high_friction_high_assist_20260509_013835,68ecadac-3bfe-4dcb-a7d8-ea9e31932139,101,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p000_w02.json,10,single,10,1,60,24,10,240,2400,2026-05-09T01:38:35,2026-05-09T01:55:02,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,0,101,3,low_friction_high_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p000_low_friction_high_assist_20260509_015502,b5b87801-2431-48f6-861f-acd83b20d6cf,101,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p000_w03.json,10,single,10,1,60,24,10,240,2400,2026-05-09T01:55:02,2026-05-09T02:09:15,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,1,201,0,baseline_low_friction,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p001_baseline_low_friction_20260509_020915,7ab0fea2-016d-4915-862c-bd918e99dfce,201,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p001_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-09T02:09:15,2026-05-09T02:28:16,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,1,201,1,high_friction_low_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p001_high_friction_low_assist_20260509_022816,0336c501-f212-4c83-9a9e-4d128f663052,201,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p001_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-09T02:28:16,2026-05-09T02:45:34,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,1,201,2,high_friction_high_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p001_high_friction_high_assist_20260509_024534,d1739b9d-9792-4df9-a56d-4c084e6d0605,201,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p001_w02.json,10,single,10,1,60,24,10,240,2400,2026-05-09T02:45:34,2026-05-09T03:00:26,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,1,201,3,low_friction_high_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p001_low_friction_high_assist_20260509_030026,ad1a7caa-7dbf-4b2a-a5cb-891690cc172f,201,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p001_w03.json,10,single,10,1,60,24,10,240,2400,2026-05-09T03:00:26,2026-05-09T03:13:27,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,2,301,0,baseline_low_friction,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p002_baseline_low_friction_20260509_031327,1cd56a29-5199-4be3-9cb0-982c0abb1ae6,301,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p002_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-09T03:13:27,2026-05-09T03:29:03,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260509_bayesian_control_10d_60min,2,301,1,high_friction_low_assist,digital_friction_parallel_exp_20260509_bayesian_control_10d_60min_p002_high_friction_low_assist_20260509_032903,a290de2f-3150-4e1a-a10e-9369fca02f47,301,ok,0,1,42165804b5b9d690,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260509_bayesian_control_10d_60min_p002_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-09T03:29:03,2026-05-09T03:44:57,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
