group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,0,baseline_low_friction,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_baseline_low_friction_20260513_122010,27b98028-efd2-4958-b327-79fa0caa1108,101,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-13T12:20:10,2026-05-13T12:36:27,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,1,high_friction_low_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_high_friction_low_assist_20260513_123627,daf0699c-5379-49e0-8c88-df05e16f03c6,101,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-13T12:36:27,2026-05-13T12:53:06,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,2,high_friction_high_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_high_friction_high_assist_20260513_125306,b6b86911-a31a-4f22-a056-9d070c16719b,101,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_w02.json,10,single,10,1,60,24,10,240,2400,2026-05-13T12:53:06,2026-05-13T13:09:24,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,3,low_friction_high_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_low_friction_high_assist_20260513_130924,c12e4568-1d8e-4416-9068-f2712d358175,101,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p000_w03.json,10,single,10,1,60,24,10,240,2400,2026-05-13T13:09:24,2026-05-13T13:23:43,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,0,baseline_low_friction,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_baseline_low_friction_20260513_132343,4e87f46c-37eb-4751-8274-71699b65afe3,201,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-13T13:23:43,2026-05-13T13:39:39,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,1,high_friction_low_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_high_friction_low_assist_20260513_133939,decf2284-68dd-4a4b-87da-5114b3673ec1,201,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-13T13:39:39,2026-05-13T13:56:45,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,2,high_friction_high_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_high_friction_high_assist_20260513_135645,fdf7a766-dd10-40b2-9c2e-b0be4e2511b0,201,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_w02.json,10,single,10,1,60,24,10,240,2400,2026-05-13T13:56:45,2026-05-13T14:12:51,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,3,low_friction_high_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_low_friction_high_assist_20260513_141251,99b906cf-0370-4830-bfd3-0cde878e2c10,201,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p001_w03.json,10,single,10,1,60,24,10,240,2400,2026-05-13T14:12:51,2026-05-13T14:28:34,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,0,baseline_low_friction,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p002_baseline_low_friction_20260513_142834,a77edad5-c846-4c53-9d09-eb078a66ae04,301,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p002_w00.json,10,single,10,1,60,24,10,240,2400,2026-05-13T14:28:34,2026-05-13T14:45:28,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,1,high_friction_low_assist,digital_friction_parallel_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p002_high_friction_low_assist_20260513_144528,1e8d6f07-a909-4692-966d-6255f8da81d5,301,ok,0,1,c98bc572c7aad467,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min_p002_w01.json,10,single,10,1,60,24,10,240,2400,2026-05-13T14:45:28,2026-05-13T15:02:22,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
