group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
20260322_010128,0,101,0,baseline_low_friction,8b31b799-6bcd-4b56-98ec-60ee8119ac91,ok,0,steady,10,1920,0.525,0.282292,0.277604,0.0625,0.242708,48.075,2,21601.0,221601
20260322_010128,0,101,0,baseline_low_friction,8b31b799-6bcd-4b56-98ec-60ee8119ac91,ok,1,shock,10,1920,0.161458,0.029687,0.106771,0.048958,0.131771,12.8,4,21601.0,421601
20260322_010128,0,101,0,baseline_low_friction,8b31b799-6bcd-4b56-98ec-60ee8119ac91,ok,2,recovery,10,1920,0.765625,0.558333,0.327604,0.028646,0.207292,-88.4,6,21601.0,621601
20260322_010128,0,101,1,high_friction_low_assist,eff00f99-9312-4c7f-8ba6-5101dae2a534,ok,0,steady,10,1920,0.109896,0.008333,0.058854,0.0375,0.101562,61.275,2,21601.0,221601
20260322_010128,0,101,1,high_friction_low_assist,eff00f99-9312-4c7f-8ba6-5101dae2a534,ok,1,shock,10,1920,0.103125,0.004167,0.058333,0.038021,0.098958,-0.4,4,21601.0,421601
20260322_010128,0,101,1,high_friction_low_assist,eff00f99-9312-4c7f-8ba6-5101dae2a534,ok,2,recovery,10,1920,0.171875,0.025521,0.125521,0.055729,0.146354,0.4,6,21601.0,621601
20260322_010128,0,101,2,high_friction_high_assist,736cd321-63c3-465c-9398-77bbff19d340,ok,0,steady,10,1920,0.397917,0.128125,0.310417,0.088021,0.269792,58.225,2,21601.0,221601
20260322_010128,0,101,2,high_friction_high_assist,736cd321-63c3-465c-9398-77bbff19d340,ok,1,shock,10,1920,0.330729,0.097917,0.283333,0.083333,0.232813,1.0,4,21601.0,421601
20260322_010128,0,101,2,high_friction_high_assist,736cd321-63c3-465c-9398-77bbff19d340,ok,2,recovery,10,1920,0.296354,0.079167,0.248438,0.078125,0.217188,0.55,6,21601.0,621601
20260322_010128,0,101,3,low_friction_high_assist,af40a408-ce76-4690-a655-27b2a931f77d,ok,0,steady,10,1920,0.925,0.745833,0.332813,0.004167,0.179167,-35.325,2,21601.0,221601
20260322_010128,0,101,3,low_friction_high_assist,af40a408-ce76-4690-a655-27b2a931f77d,ok,1,shock,10,1920,0.886458,0.634375,0.315625,0.023438,0.252083,-2.2,4,21601.0,421601
20260322_010128,0,101,3,low_friction_high_assist,af40a408-ce76-4690-a655-27b2a931f77d,ok,2,recovery,10,1920,0.929167,0.75625,0.324479,0.004687,0.172917,0.25,6,21601.0,621601
