group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
exp_20260507_stream_memory_10d_60min,0,101,0,baseline_low_friction,4ec5957c-7aa2-47eb-a72c-065f37c53153,ok,0,steady,10,387,0.69509,0.354005,0.410853,0.077519,0.341085,31.194418,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,0,101,1,high_friction_low_assist,88ef685b-a592-4655-bbaf-127646b47169,ok,0,steady,10,475,0.376842,0.048421,0.221053,0.122105,0.328421,60.42266,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,0,101,2,high_friction_high_assist,57e188d7-2a08-406f-a578-02990de997af,ok,0,steady,10,431,0.587007,0.185615,0.415313,0.141531,0.401392,53.780417,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,0,101,3,low_friction_high_assist,91594e96-efe6-4040-b73a-dc3618168660,ok,0,steady,10,363,0.796143,0.578512,0.454545,0.030303,0.217631,-0.277308,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,1,201,0,baseline_low_friction,2155fd45-9f14-428e-bf9c-5a0567ab9d8b,ok,0,steady,10,381,0.721785,0.43832,0.388451,0.073491,0.283465,20.194234,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,1,201,1,high_friction_low_assist,a949e4ba-3492-49ec-b59a-bc20110fdb23,ok,0,steady,10,473,0.40592,0.061311,0.232558,0.114165,0.344609,60.245368,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,1,201,2,high_friction_high_assist,297178b1-f52b-4e11-9017-7a92a6d21980,ok,0,steady,10,403,0.605459,0.230769,0.414392,0.136476,0.37469,42.114679,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,1,201,3,low_friction_high_assist,7c4a4f21-b944-42c8-b0d0-fdad7f700fc3,ok,0,steady,10,337,0.866469,0.667656,0.456973,0.026706,0.198813,-11.193848,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,2,301,0,baseline_low_friction,1ac15c09-bad6-495d-aae4-a5cff96ef678,ok,0,steady,10,389,0.694087,0.37018,0.372751,0.100257,0.323907,27.410692,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,2,301,1,high_friction_low_assist,33b569a1-6c15-4bf9-b790-877d87036b9c,ok,0,steady,10,492,0.343496,0.042683,0.170732,0.115854,0.300813,60.998256,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,2,301,2,high_friction_high_assist,4a61d0f5-82dc-4107-a125-d8d2264144d5,ok,0,steady,10,417,0.594724,0.208633,0.402878,0.160671,0.386091,48.194289,10,21601.0,1021601
exp_20260507_stream_memory_10d_60min,2,301,3,low_friction_high_assist,958e855e-89b3-4647-8e1d-752ab2c664d0,ok,0,steady,10,352,0.795455,0.590909,0.443182,0.039773,0.204545,-0.637707,10,21601.0,1021601
