group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,0,baseline_low_friction,27b98028-efd2-4958-b327-79fa0caa1108,ok,0,steady,10,390,0.715385,0.358974,0.420513,0.082051,0.35641,34.169239,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,1,high_friction_low_assist,daf0699c-5379-49e0-8c88-df05e16f03c6,ok,0,steady,10,384,0.710938,0.085938,0.453125,0.234375,0.625,58.584549,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,2,high_friction_high_assist,b6b86911-a31a-4f22-a056-9d070c16719b,ok,0,steady,10,405,0.676543,0.22963,0.417284,0.150617,0.446914,49.568405,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,3,low_friction_high_assist,c12e4568-1d8e-4416-9068-f2712d358175,ok,0,steady,10,383,0.715405,0.535248,0.45953,0.036554,0.180157,4.903853,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,0,baseline_low_friction,4e87f46c-37eb-4751-8274-71699b65afe3,ok,0,steady,10,387,0.70801,0.426357,0.416021,0.077519,0.281654,23.240036,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,1,high_friction_low_assist,decf2284-68dd-4a4b-87da-5114b3673ec1,ok,0,steady,10,391,0.677749,0.099744,0.401535,0.204604,0.578005,57.912153,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,2,high_friction_high_assist,fdf7a766-dd10-40b2-9c2e-b0be4e2511b0,ok,0,steady,10,369,0.750678,0.273713,0.439024,0.173442,0.476965,39.335875,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,3,low_friction_high_assist,99b906cf-0370-4830-bfd3-0cde878e2c10,ok,0,steady,10,391,0.677749,0.506394,0.401535,0.035806,0.171355,5.701722,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,0,baseline_low_friction,a77edad5-c846-4c53-9d09-eb078a66ae04,ok,0,steady,10,386,0.715026,0.398964,0.450777,0.090674,0.316062,32.565077,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,1,high_friction_low_assist,1e8d6f07-a909-4692-966d-6255f8da81d5,ok,0,steady,10,387,0.70801,0.121447,0.470284,0.229974,0.586563,57.046048,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,2,high_friction_high_assist,93cceeec-9411-4b1a-9f3b-99c4d57d3539,ok,0,steady,10,387,0.70801,0.248062,0.449612,0.18863,0.459948,43.945152,10,21601.0,1021601
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,3,low_friction_high_assist,c64d0fa6-9140-4750-9897-c0c341ba8cb4,ok,0,steady,10,386,0.712435,0.531088,0.474093,0.025907,0.181347,6.861849,10,21601.0,1021601
