group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
hybrid_full_2day_20260325,0,101,0,baseline_low_friction,c8c61861-ab17-4b06-80f5-56072801f269,ok,0,steady,10,960,0.665625,0.398958,0.351042,0.076042,0.266667,1.075,2,21601.0,221601
hybrid_full_2day_20260325,0,101,0,baseline_low_friction,c8c61861-ab17-4b06-80f5-56072801f269,ok,1,shock,10,960,0.333333,0.078125,0.226042,0.092708,0.255208,60.2,4,21601.0,421601
hybrid_full_2day_20260325,0,101,0,baseline_low_friction,c8c61861-ab17-4b06-80f5-56072801f269,ok,2,recovery,10,960,0.723958,0.547917,0.419792,0.030208,0.176042,-91.3,6,21601.0,621601
hybrid_full_2day_20260325,0,101,1,high_friction_low_assist,9a9cf722-55e6-410d-89f2-a3af96cefa06,ok,0,steady,10,960,0.29375,0.021875,0.194792,0.115625,0.271875,61.275,2,21601.0,221601
hybrid_full_2day_20260325,0,101,1,high_friction_low_assist,9a9cf722-55e6-410d-89f2-a3af96cefa06,ok,1,shock,10,960,0.246875,0.008333,0.171875,0.09375,0.238542,0.0,4,21601.0,421601
hybrid_full_2day_20260325,0,101,1,high_friction_low_assist,9a9cf722-55e6-410d-89f2-a3af96cefa06,ok,2,recovery,10,960,0.290625,0.055208,0.235417,0.092708,0.235417,-0.2,6,21601.0,621601
hybrid_full_2day_20260325,0,101,2,high_friction_high_assist,5d70ea86-971d-4036-8632-77cffdf80c68,ok,0,steady,10,960,0.534375,0.189583,0.373958,0.119792,0.344792,45.625,2,21601.0,221601
hybrid_full_2day_20260325,0,101,2,high_friction_high_assist,5d70ea86-971d-4036-8632-77cffdf80c68,ok,1,shock,10,960,0.436458,0.141667,0.341667,0.103125,0.294792,13.7,4,21601.0,421601
hybrid_full_2day_20260325,0,101,2,high_friction_high_assist,5d70ea86-971d-4036-8632-77cffdf80c68,ok,2,recovery,10,960,0.395833,0.117708,0.341667,0.113542,0.278125,-1.0,6,21601.0,621601
hybrid_full_2day_20260325,0,101,3,low_friction_high_assist,31a1eb03-5d99-478f-a2e5-eee2a71b125f,ok,0,steady,10,960,0.869792,0.689583,0.397917,0.007292,0.180208,-37.875,2,21601.0,221601
hybrid_full_2day_20260325,0,101,3,low_friction_high_assist,31a1eb03-5d99-478f-a2e5-eee2a71b125f,ok,1,shock,10,960,0.839583,0.614583,0.35,0.015625,0.225,-0.85,4,21601.0,421601
hybrid_full_2day_20260325,0,101,3,low_friction_high_assist,31a1eb03-5d99-478f-a2e5-eee2a71b125f,ok,2,recovery,10,960,0.886458,0.759375,0.404167,0.005208,0.127083,3.3,6,21601.0,621601
