contrast_key,baseline_world,compare_world,direction_profile,metric,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,wilcoxon_p,direction_consistency
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,attempt_rate,1,-0.342948,-0.342948,-0.342948,-0.342948,1.0,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,neg_share,1,0.411579,0.411579,0.411579,0.411579,1.0,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,helplessness_delta,1,25.696744,25.696744,25.696744,25.696744,1.0,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,trust_delta,1,-22.875,-22.875,-22.875,-22.875,1.0,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,avoidance_delta,1,17.025,17.025,17.025,17.025,1.0,1.0
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,attempt_rate,1,-0.040865,-0.040865,-0.040865,-0.040865,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,neg_share,1,0.099885,0.099885,0.099885,0.099885,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,helplessness_delta,1,8.10046,8.10046,8.10046,8.10046,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,trust_delta,1,-8.775,-8.775,-8.775,-8.775,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,avoidance_delta,1,8.725,8.725,8.725,8.725,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,attempt_rate,1,0.092877,0.092877,0.092877,0.092877,1.0,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,neg_share,1,-0.176964,-0.176964,-0.176964,-0.176964,1.0,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,helplessness_delta,1,-17.345163,-17.345163,-17.345163,-17.345163,1.0,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,trust_delta,1,36.375,36.375,36.375,36.375,1.0,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,avoidance_delta,1,-25.55,-25.55,-25.55,-25.55,1.0,1.0
