contrast_key,baseline_world,compare_world,direction_profile,metric,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,wilcoxon_p,direction_consistency
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,attempt_rate,3,-0.328235,-0.318248,-0.350591,-0.315865,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,neg_share,3,0.415369,0.409073,0.380802,0.456231,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,helplessness_delta,3,28.747418,26.643509,25.588,34.010744,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,trust_delta,3,-26.975,-23.95,-41.6,-15.375,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,avoidance_delta,3,14.0,10.3,9.75,21.95,0.25,1.0
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,attempt_rate,3,-0.107924,-0.108083,-0.116326,-0.099363,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,neg_share,3,0.20058,0.193088,0.182527,0.226125,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,helplessness_delta,3,17.850333,16.379626,15.25786,21.913514,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,trust_delta,3,-21.241667,-22.15,-23.275,-18.3,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,avoidance_delta,3,12.433333,14.425,7.525,15.35,0.25,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,attempt_rate,3,0.115702,0.101368,0.101053,0.144684,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,neg_share,3,-0.196716,-0.209524,-0.21735,-0.163275,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,helplessness_delta,3,-29.493851,-30.061256,-30.910399,-27.509898,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,trust_delta,3,40.75,38.1,28.75,55.4,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,avoidance_delta,3,-40.216667,-40.25,-43.8,-36.6,0.25,1.0
