contrast_key,baseline_world,compare_world,direction_profile,metric,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,wilcoxon_p,direction_consistency
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,attempt_rate,3,-0.327605,-0.318248,-0.350591,-0.313975,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,neg_share,3,0.415369,0.409073,0.380802,0.456231,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,helplessness_delta,3,28.742518,26.568599,25.685356,33.9736,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,trust_delta,3,-26.941667,-23.9,-41.55,-15.375,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,avoidance_delta,3,13.866667,10.15,9.75,21.7,0.25,1.0
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,attempt_rate,3,-0.108619,-0.108083,-0.11841,-0.099363,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,neg_share,3,0.201429,0.193088,0.182527,0.228672,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,helplessness_delta,3,17.948471,16.949857,15.036093,21.859463,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,trust_delta,3,-21.108333,-21.95,-23.275,-18.1,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,avoidance_delta,3,12.2,14.025,7.225,15.35,0.25,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,attempt_rate,3,0.116332,0.101368,0.101053,0.146574,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,neg_share,3,-0.19787,-0.209524,-0.22081,-0.163275,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,helplessness_delta,3,-29.915533,-30.354126,-31.893856,-27.498617,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,trust_delta,3,41.283333,38.1,28.95,56.8,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,avoidance_delta,3,-40.883333,-40.65,-45.4,-36.6,0.25,1.0
