contrast_key,baseline_world,compare_world,direction_profile,metric,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,wilcoxon_p,direction_consistency
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,attempt_rate,3,-0.013908,-0.007016,-0.030261,-0.004447,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,neg_share,3,0.407457,0.386438,0.380913,0.45502,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,helplessness_delta,3,23.401003,20.785384,19.664795,29.75283,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,trust_delta,3,-25.7,-22.475,-40.95,-13.675,0.25,1.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,avoidance_delta,3,9.233333,3.6,2.975,21.125,0.25,1.0
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,attempt_rate,3,-0.001063,-0.007016,-0.038842,0.042668,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,neg_share,3,0.202517,0.207606,0.162376,0.237569,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,helplessness_delta,3,10.880329,11.303819,7.41595,13.921217,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,trust_delta,3,-16.441667,-16.875,-17.45,-15.0,0.25,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,avoidance_delta,3,6.716667,6.575,2.125,11.45,0.25,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,attempt_rate,3,-0.010944,-0.002591,-0.030261,2e-05,0.5,0.333333
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,neg_share,3,-0.192949,-0.187484,-0.246383,-0.14498,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,emit_given_attempt,3,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,helplessness_delta,3,-23.779192,-24.479602,-30.07243,-16.785543,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,trust_delta,3,43.583333,42.525,21.7,66.525,0.25,1.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,avoidance_delta,3,-32.566667,-37.775,-44.85,-15.075,0.25,1.0
