contrast_key,baseline_world,compare_world,direction_profile,metric,n_pairs,mean_diff,median_diff,ci95_low,ci95_high,wilcoxon_p,direction_consistency
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,attempt_rate,1,0.0,0.0,0.0,0.0,1.0,0.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,neg_share,1,0.0,0.0,0.0,0.0,1.0,0.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,helplessness_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,trust_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
high_friction_low_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_low_assist,worse_than_baseline,avoidance_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,attempt_rate,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,neg_share,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,helplessness_delta,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,trust_delta,1,0.0,0.0,0.0,0.0,1.0,
high_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,high_friction_high_assist,,avoidance_delta,1,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,attempt_rate,1,0.0,0.0,0.0,0.0,1.0,0.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,neg_share,1,0.0,0.0,0.0,0.0,1.0,0.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,emit_given_attempt,1,0.0,0.0,0.0,0.0,1.0,
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,helplessness_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,trust_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
low_friction_high_assist__vs__baseline_low_friction,baseline_low_friction,low_friction_high_assist,better_than_baseline,avoidance_delta,1,0.0,0.0,0.0,0.0,1.0,0.0
