group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,stage_mode,total_days,decision_interval_minutes,decision_intervals_per_day,opportunities_per_agent,opportunities_total,attempts,emitted,negatives,positives,attempt_rate,emit_given_attempt,neg_share,positive_share,intercept_rate_in_emitted,helplessness_delta,trust_delta,avoidance_delta
digital_friction_parallel_20260311_002952,0,101,0,baseline_low_friction,0ab03044-dd76-4f66-b916-6f54a17d348f,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,120,35,12,23,0.416667,0.291667,0.342857,0.657143,0.228571,-3.05917,-1.515374,-0.223965
digital_friction_parallel_20260311_002952,0,101,1,high_friction_low_assist,5acbdf3b-b362-44cc-a94e-639df496280c,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,91,56,33,23,0.315972,0.615385,0.589286,0.410714,0.089286,41.212966,-47.288249,35.791676
digital_friction_parallel_20260311_002952,0,101,2,low_friction_high_assist,df032cbf-0304-4f74-9d0f-a9e6351a8d29,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,90,12,3,9,0.3125,0.133333,0.25,0.75,0.166667,-4.788171,4.186558,-0.720249
digital_friction_parallel_20260311_002952,1,102,0,baseline_low_friction,a11f4c49-0147-4f4c-806d-e838ca10ff0b,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,90,24,5,19,0.3125,0.266667,0.208333,0.791667,0.125,-7.076803,4.321592,-2.256922
digital_friction_parallel_20260311_002952,1,102,1,high_friction_low_assist,df90190a-6b3f-4f44-8ef8-8994831b25fb,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,102,60,30,30,0.354167,0.588235,0.5,0.5,0.116667,26.689176,-32.276233,25.440124
digital_friction_parallel_20260311_002952,1,102,2,low_friction_high_assist,63e86c54-c01b-4fdd-8ed0-cf5e00833050,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,86,14,1,13,0.298611,0.162791,0.071429,0.928571,0.285714,-10.826454,10.662908,-5.916181
digital_friction_parallel_20260311_002952,2,103,0,baseline_low_friction,62b1a5e8-dbc9-419d-b65f-856081bb136d,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,99,21,5,16,0.34375,0.212121,0.238095,0.761905,0.428571,-5.819395,1.106452,-2.218265
digital_friction_parallel_20260311_002952,2,103,1,high_friction_low_assist,47ce311d-2cc3-404a-9289-00ed30f32b99,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,106,49,28,21,0.368056,0.462264,0.571429,0.428571,0.142857,30.394256,-39.358498,29.33361
digital_friction_parallel_20260311_002952,2,103,2,low_friction_high_assist,36d74e33-dd04-448f-bdfb-ab0737af4d58,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,68,8,0,8,0.236111,0.117647,0.0,1.0,0.0,-6.649702,4.28164,-4.208873
digital_friction_parallel_20260311_002952,3,104,0,baseline_low_friction,a3d50392-0445-4c06-b668-1e4caf06ee85,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,110,30,8,22,0.381944,0.272727,0.266667,0.733333,0.233333,-6.3594,2.987953,-4.077447
digital_friction_parallel_20260311_002952,3,104,1,high_friction_low_assist,121f56fc-2c6d-460f-9b59-3aed5e0a380b,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,96,60,30,30,0.333333,0.625,0.5,0.5,0.183333,34.023229,-43.502398,28.879079
digital_friction_parallel_20260311_002952,3,104,2,low_friction_high_assist,0c665caf-7728-4e4b-bb07-f22e2bc9a1e8,ok,1,96afe698bae10d6d,6,single,1,30,48,48,288,85,16,2,14,0.295139,0.188235,0.125,0.875,0.25,-11.721822,10.336227,-6.542589
