group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
exp_20260416_allhybrid1,0,101,0,baseline_low_friction,e875c377-6e80-4ef0-a7ac-d2db742b89ac,ok,1,5bbecce286fc88e7,10,7,0.70632,0.375465,0.36803,0.092937,0.330855,21.028461,269,190,101,99,25,89,-27.0,29.05,190,101,89,0.468421,1.0
exp_20260416_allhybrid1,0,101,1,high_friction_low_assist,d7d29623-b663-4b65-af11-c28c4469f046,ok,1,5bbecce286fc88e7,10,7,0.366279,0.043605,0.194767,0.136628,0.322674,46.878023,344,126,15,67,47,111,-50.175,46.375,126,15,111,0.880952,1.0
exp_20260416_allhybrid1,0,101,2,high_friction_high_assist,a5a2ccac-816a-4392-806e-f33c98c2cbb6,ok,1,5bbecce286fc88e7,10,7,0.665455,0.287273,0.432727,0.101818,0.378182,29.011206,275,183,79,119,28,104,-36.075,38.075,183,79,104,0.568306,1.0
exp_20260416_allhybrid1,0,101,3,low_friction_high_assist,d2ebade5-f1ec-44f6-bac3-e7676015edbe,ok,1,5bbecce286fc88e7,10,7,0.799197,0.566265,0.48996,0.040161,0.232932,2.955555,249,199,141,122,10,58,9.475,3.05,199,141,58,0.291457,1.0
exp_20260416_allhybrid1,1,201,0,baseline_low_friction,64dc4f1e-1adf-49ce-a593-46dca32b3341,ok,1,5bbecce286fc88e7,10,7,0.735849,0.384906,0.354717,0.101887,0.350943,18.168054,265,195,102,94,27,93,-24.75,33.5,195,102,93,0.476923,1.0
exp_20260416_allhybrid1,1,201,1,high_friction_low_assist,c3537503-5217-4f05-9bd5-e6f9dea7300f,ok,1,5bbecce286fc88e7,10,7,0.419753,0.037037,0.234568,0.108025,0.382716,48.080877,324,136,12,76,35,124,-53.025,49.125,136,12,124,0.911765,1.0
exp_20260416_allhybrid1,1,201,2,high_friction_high_assist,95d0fecf-0b4f-4a3a-bd7c-55d45c2351c7,ok,1,5bbecce286fc88e7,10,7,0.607018,0.252632,0.396491,0.126316,0.354386,31.558819,285,173,72,113,36,101,-32.75,39.325,173,72,101,0.583815,1.0
exp_20260416_allhybrid1,1,201,3,low_friction_high_assist,79631a87-a4da-4178-9b6a-977b3a14abb6,ok,1,5bbecce286fc88e7,10,7,0.845188,0.569038,0.476987,0.041841,0.276151,2.811046,239,202,136,114,10,66,-1.025,6.3,202,136,66,0.326733,1.0
exp_20260416_allhybrid1,2,301,0,baseline_low_friction,81a7ab95-4d6a-477c-a25e-5bfd9f4d3380,ok,1,5bbecce286fc88e7,10,7,0.729008,0.412214,0.347328,0.103053,0.316794,18.099132,262,191,108,91,27,83,-21.55,27.325,191,108,83,0.434555,1.0
exp_20260416_allhybrid1,2,301,1,high_friction_low_assist,79f80c50-a8e5-4e15-8c62-c95be347216a,ok,1,5bbecce286fc88e7,10,7,0.411043,0.052147,0.223926,0.122699,0.358896,45.393991,326,134,17,73,40,117,-49.275,47.525,134,17,117,0.873134,1.0
exp_20260416_allhybrid1,2,301,2,high_friction_high_assist,3aa7b158-854d-4e24-9855-3338627d9d48,ok,1,5bbecce286fc88e7,10,7,0.720149,0.302239,0.477612,0.141791,0.41791,26.939148,268,193,81,128,38,112,-31.35,37.05,193,81,112,0.580311,1.0
exp_20260416_allhybrid1,2,301,3,low_friction_high_assist,c1635ec6-dfca-4efc-a459-4a076cc2c348,ok,1,5bbecce286fc88e7,10,7,0.818548,0.584677,0.471774,0.044355,0.233871,-0.333901,248,203,145,117,11,58,9.675,-1.85,203,145,58,0.285714,1.0
