group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
exp_20260507_stream_memory_10d_60min,0,101,0,baseline_low_friction,4ec5957c-7aa2-47eb-a72c-065f37c53153,ok,1,d0f37b5940c95a04,10,10,0.69509,0.354005,0.410853,0.077519,0.341085,28.944271,387,269,137,159,30,132,-40.2,41.225,269,137,132,0.490706,1.0
exp_20260507_stream_memory_10d_60min,0,101,1,high_friction_low_assist,88ef685b-a592-4655-bbaf-127646b47169,ok,1,d0f37b5940c95a04,10,10,0.376842,0.048421,0.221053,0.122105,0.328421,54.532271,475,179,23,105,58,156,-55.575,50.975,179,23,156,0.871508,1.0
exp_20260507_stream_memory_10d_60min,0,101,2,high_friction_high_assist,57e188d7-2a08-406f-a578-02990de997af,ok,1,d0f37b5940c95a04,10,10,0.587007,0.185615,0.415313,0.141531,0.401392,50.857785,431,253,80,179,61,173,-63.475,56.575,253,80,173,0.683794,1.0
exp_20260507_stream_memory_10d_60min,0,101,3,low_friction_high_assist,91594e96-efe6-4040-b73a-dc3618168660,ok,1,d0f37b5940c95a04,10,10,0.796143,0.578512,0.454545,0.030303,0.217631,-1.966128,363,289,210,165,11,79,15.2,-2.575,289,210,79,0.273356,1.0
exp_20260507_stream_memory_10d_60min,1,201,0,baseline_low_friction,2155fd45-9f14-428e-bf9c-5a0567ab9d8b,ok,1,d0f37b5940c95a04,10,10,0.721785,0.43832,0.388451,0.073491,0.283465,19.380436,381,275,167,148,28,108,-13.575,27.325,275,167,108,0.392727,1.0
exp_20260507_stream_memory_10d_60min,1,201,1,high_friction_low_assist,a949e4ba-3492-49ec-b59a-bc20110fdb23,ok,1,d0f37b5940c95a04,10,10,0.40592,0.061311,0.232558,0.114165,0.344609,53.39118,473,192,29,110,54,163,-55.175,49.275,192,29,163,0.848958,1.0
exp_20260507_stream_memory_10d_60min,1,201,2,high_friction_high_assist,297178b1-f52b-4e11-9017-7a92a6d21980,ok,1,d0f37b5940c95a04,10,10,0.605459,0.230769,0.414392,0.136476,0.37469,35.760062,403,244,93,167,55,151,-35.725,41.75,244,93,151,0.618852,1.0
exp_20260507_stream_memory_10d_60min,1,201,3,low_friction_high_assist,7c4a4f21-b944-42c8-b0d0-fdad7f700fc3,ok,1,d0f37b5940c95a04,10,10,0.866469,0.667656,0.456973,0.026706,0.198813,-10.68082,337,292,225,154,9,67,15.175,-12.925,292,225,67,0.229452,1.0
exp_20260507_stream_memory_10d_60min,2,301,0,baseline_low_friction,1ac15c09-bad6-495d-aae4-a5cff96ef678,ok,1,d0f37b5940c95a04,10,10,0.694087,0.37018,0.372751,0.100257,0.323907,27.327665,389,270,144,145,39,126,-30.175,39.925,270,144,126,0.466667,1.0
exp_20260507_stream_memory_10d_60min,2,301,1,high_friction_low_assist,33b569a1-6c15-4bf9-b790-877d87036b9c,ok,1,d0f37b5940c95a04,10,10,0.343496,0.042683,0.170732,0.115854,0.300813,53.971174,492,169,21,84,57,148,-54.125,50.225,169,21,148,0.87574,1.0
exp_20260507_stream_memory_10d_60min,2,301,2,high_friction_high_assist,4a61d0f5-82dc-4107-a125-d8d2264144d5,ok,1,d0f37b5940c95a04,10,10,0.594724,0.208633,0.402878,0.160671,0.386091,42.585525,417,248,87,168,67,161,-48.475,47.45,248,87,161,0.649194,1.0
exp_20260507_stream_memory_10d_60min,2,301,3,low_friction_high_assist,958e855e-89b3-4647-8e1d-752ab2c664d0,ok,1,d0f37b5940c95a04,10,10,0.795455,0.590909,0.443182,0.039773,0.204545,-0.182233,352,280,208,156,14,72,7.925,3.325,280,208,72,0.257143,1.0
