group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
exp_20260511_policy_lite_shadow_10d_60min,0,101,0,baseline_low_friction,2876207a-ff55-4ca0-80fa-8574dc46a28b,ok,1,97d05266a3122580,10,10,0.69509,0.354005,0.410853,0.077519,0.341085,28.965449,387,269,137,159,30,132,-40.2,41.225,269,137,132,0.490706,1.0
exp_20260511_policy_lite_shadow_10d_60min,0,101,1,high_friction_low_assist,d31b2615-a3b6-40cc-8548-45f9824d8d99,ok,1,97d05266a3122580,10,10,0.376842,0.048421,0.221053,0.122105,0.328421,54.650805,475,179,23,105,58,156,-55.575,50.975,179,23,156,0.871508,1.0
exp_20260511_policy_lite_shadow_10d_60min,0,101,2,high_friction_high_assist,7a8d78c5-e65a-46e7-ba33-adc24e5a7f79,ok,1,97d05266a3122580,10,10,0.587007,0.185615,0.415313,0.141531,0.401392,50.824912,431,253,80,179,61,173,-63.475,56.575,253,80,173,0.683794,1.0
exp_20260511_policy_lite_shadow_10d_60min,0,101,3,low_friction_high_assist,09a6e3fa-e7fb-4319-8a85-8ce143f5c1b2,ok,1,97d05266a3122580,10,10,0.796143,0.581267,0.454545,0.027548,0.214876,-2.928407,363,289,211,165,10,78,16.6,-4.175,289,211,78,0.269896,1.0
exp_20260511_policy_lite_shadow_10d_60min,1,201,0,baseline_low_friction,eb2ba638-1477-4ff0-87b3-e6b717b99e64,ok,1,97d05266a3122580,10,10,0.719895,0.437173,0.384817,0.073298,0.282723,19.440024,382,275,167,147,28,108,-13.625,27.575,275,167,108,0.392727,1.0
exp_20260511_policy_lite_shadow_10d_60min,1,201,1,high_friction_low_assist,e4059d81-82fd-4e66-8d5d-c3a7ede4f901,ok,1,97d05266a3122580,10,10,0.40592,0.061311,0.232558,0.114165,0.344609,53.413624,473,192,29,110,54,163,-55.175,49.275,192,29,163,0.848958,1.0
exp_20260511_policy_lite_shadow_10d_60min,1,201,2,high_friction_high_assist,93d5c5a5-bf20-474f-878f-83cc818b6143,ok,1,97d05266a3122580,10,10,0.601485,0.227723,0.408416,0.138614,0.373762,36.389881,404,243,92,165,56,151,-35.575,41.6,243,92,151,0.621399,1.0
exp_20260511_policy_lite_shadow_10d_60min,1,201,3,low_friction_high_assist,8fa3a307-b33b-4a83-9b7b-47f2575f8d3c,ok,1,97d05266a3122580,10,10,0.866469,0.667656,0.456973,0.026706,0.198813,-10.914102,337,292,225,154,9,67,15.325,-13.075,292,225,67,0.229452,1.0
exp_20260511_policy_lite_shadow_10d_60min,2,301,0,baseline_low_friction,4e0cf3dc-9167-4cb4-9ba1-132cc6ad80fd,ok,1,97d05266a3122580,10,10,0.694087,0.37018,0.375321,0.100257,0.323907,27.550033,389,270,144,146,39,126,-30.375,40.225,270,144,126,0.466667,1.0
exp_20260511_policy_lite_shadow_10d_60min,2,301,1,high_friction_low_assist,721fb22d-4d06-4703-9d32-918cfc9d7ed1,ok,1,97d05266a3122580,10,10,0.343496,0.042683,0.170732,0.115854,0.300813,54.118632,492,169,21,84,57,148,-54.275,50.375,169,21,148,0.87574,1.0
exp_20260511_policy_lite_shadow_10d_60min,2,301,2,high_friction_high_assist,7089d270-0592-4923-a0b3-74ecbc2974e8,ok,1,97d05266a3122580,10,10,0.594724,0.208633,0.402878,0.160671,0.386091,42.586126,417,248,87,168,67,161,-48.475,47.45,248,87,161,0.649194,1.0
exp_20260511_policy_lite_shadow_10d_60min,2,301,3,low_friction_high_assist,fe3b611e-e4e7-4476-bb24-fdf441df8774,ok,1,97d05266a3122580,10,10,0.795455,0.590909,0.448864,0.039773,0.204545,0.051416,352,280,208,158,14,72,7.725,3.625,280,208,72,0.257143,1.0
