group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,0,101,0,baseline_low_friction,eee5c1f3-98b0-4de7-b18b-f1547de814eb,ok,1,032ad5d35b87124b,10,10,0.690722,0.350515,0.407216,0.07732,0.340206,29.228961,388,268,136,158,30,132,-40.4,41.525,268,136,132,0.492537,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,0,101,1,high_friction_low_assist,29d90482-15e7-4770-b909-912101e3eb3a,ok,1,032ad5d35b87124b,10,10,0.374737,0.048421,0.218947,0.122105,0.326316,54.65298,475,178,23,104,58,155,-55.575,50.975,178,23,155,0.870787,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,0,101,2,high_friction_high_assist,08cd38f9-588a-4478-a702-930f8e27f89b,ok,1,032ad5d35b87124b,10,10,0.587007,0.185615,0.415313,0.141531,0.401392,50.72872,431,253,80,179,61,173,-63.475,56.575,253,80,173,0.683794,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,0,101,3,low_friction_high_assist,7b13d221-3aac-450d-8186-e5c8f7a5a694,ok,1,032ad5d35b87124b,10,10,0.796143,0.581267,0.454545,0.027548,0.214876,-2.440219,363,289,211,165,10,78,16.4,-3.275,289,211,78,0.269896,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,1,201,0,baseline_low_friction,95b07521-7a36-491c-af16-70e72ec5bf0d,ok,1,032ad5d35b87124b,10,10,0.719895,0.437173,0.382199,0.073298,0.282723,19.464638,382,275,167,146,28,108,-14.075,28.025,275,167,108,0.392727,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,1,201,1,high_friction_low_assist,5ea17bb8-4211-4e3e-9b85-113f1cd69cf6,ok,1,032ad5d35b87124b,10,10,0.40592,0.061311,0.230444,0.114165,0.344609,52.842901,473,192,29,109,54,163,-55.325,49.425,192,29,163,0.848958,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,1,201,2,high_friction_high_assist,cc585007-7556-4027-a0fe-7a32ea3ca690,ok,1,032ad5d35b87124b,10,10,0.605459,0.230769,0.414392,0.136476,0.37469,35.776346,403,244,93,167,55,151,-35.725,41.75,244,93,151,0.618852,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,1,201,3,low_friction_high_assist,d585f336-e5c1-4ad2-aea2-a97228078005,ok,1,032ad5d35b87124b,10,10,0.866469,0.667656,0.456973,0.026706,0.198813,-10.438803,337,292,225,154,9,67,14.875,-12.625,292,225,67,0.229452,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,2,301,0,baseline_low_friction,7b6873ae-2a43-46dc-8160-7513c05c9eed,ok,1,032ad5d35b87124b,10,10,0.694087,0.37018,0.372751,0.100257,0.323907,27.263464,389,270,144,145,39,126,-30.175,39.925,270,144,126,0.466667,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,2,301,1,high_friction_low_assist,81e751c1-dc4b-4b86-96d4-2b4d87382e29,ok,1,032ad5d35b87124b,10,10,0.341463,0.042683,0.172764,0.115854,0.29878,54.012545,492,168,21,85,57,147,-54.275,50.375,168,21,147,0.875,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,2,301,2,high_friction_high_assist,1271eb2f-9f3f-4413-ae95-a4e196f2904e,ok,1,032ad5d35b87124b,10,10,0.594724,0.208633,0.402878,0.160671,0.386091,42.488546,417,248,87,168,67,161,-48.325,47.3,248,87,161,0.649194,1.0
exp_20260512_policy_lite_theory_v2_shadow_10d_60min,2,301,3,low_friction_high_assist,cc69ff28-cc75-4ebd-9dad-5a0c8a21d5ad,ok,1,032ad5d35b87124b,10,10,0.795455,0.590909,0.448864,0.039773,0.204545,-0.07331,352,280,208,158,14,72,7.925,3.175,280,208,72,0.257143,1.0
