group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,0,baseline_low_friction,27b98028-efd2-4958-b327-79fa0caa1108,ok,1,c98bc572c7aad467,10,10,0.715385,0.358974,0.420513,0.082051,0.35641,32.221053,390,279,140,164,32,139,-42.95,49.15,279,140,139,0.498208,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,1,high_friction_low_assist,daf0699c-5379-49e0-8c88-df05e16f03c6,ok,1,c98bc572c7aad467,10,10,0.710938,0.085938,0.453125,0.234375,0.625,53.006437,384,273,33,174,90,240,-56.625,52.125,273,33,240,0.879121,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,2,high_friction_high_assist,b6b86911-a31a-4f22-a056-9d070c16719b,ok,1,c98bc572c7aad467,10,10,0.676543,0.22963,0.417284,0.150617,0.446914,46.14227,405,274,93,169,61,181,-59.825,55.725,274,93,181,0.660584,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,0,101,3,low_friction_high_assist,c12e4568-1d8e-4416-9068-f2712d358175,ok,1,c98bc572c7aad467,10,10,0.715405,0.535248,0.45953,0.036554,0.180157,2.148623,383,274,205,176,14,69,23.575,4.3,274,205,69,0.251825,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,0,baseline_low_friction,4e87f46c-37eb-4751-8274-71699b65afe3,ok,1,c98bc572c7aad467,10,10,0.70801,0.426357,0.416021,0.077519,0.281654,21.685235,387,274,165,161,30,109,-14.225,29.35,274,165,109,0.39781,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,1,high_friction_low_assist,decf2284-68dd-4a4b-87da-5114b3673ec1,ok,1,c98bc572c7aad467,10,10,0.677749,0.099744,0.401535,0.204604,0.578005,51.438065,391,265,39,157,80,226,-55.175,50.475,265,39,226,0.85283,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,2,high_friction_high_assist,fdf7a766-dd10-40b2-9c2e-b0be4e2511b0,ok,1,c98bc572c7aad467,10,10,0.750678,0.273713,0.439024,0.173442,0.476965,32.989054,369,277,101,162,64,176,-31.675,40.8,277,101,176,0.635379,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,1,201,3,low_friction_high_assist,99b906cf-0370-4830-bfd3-0cde878e2c10,ok,1,c98bc572c7aad467,10,10,0.677749,0.506394,0.401535,0.035806,0.171355,4.899692,391,265,198,157,14,67,7.475,14.275,265,198,67,0.25283,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,0,baseline_low_friction,a77edad5-c846-4c53-9d09-eb078a66ae04,ok,1,c98bc572c7aad467,10,10,0.715026,0.398964,0.450777,0.090674,0.316062,31.09043,386,276,154,174,35,122,-33.45,48.125,276,154,122,0.442029,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,1,high_friction_low_assist,1e8d6f07-a909-4692-966d-6255f8da81d5,ok,1,c98bc572c7aad467,10,10,0.70801,0.121447,0.470284,0.229974,0.586563,50.755225,387,274,47,182,89,227,-55.925,51.725,274,47,227,0.828467,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,2,high_friction_high_assist,93cceeec-9411-4b1a-9f3b-99c4d57d3539,ok,1,c98bc572c7aad467,10,10,0.70801,0.248062,0.449612,0.18863,0.459948,38.50638,387,274,96,174,73,178,-48.45,50.25,274,96,178,0.649635,1.0
exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,2,301,3,low_friction_high_assist,c64d0fa6-9140-4750-9897-c0c341ba8cb4,ok,1,c98bc572c7aad467,10,10,0.712435,0.531088,0.474093,0.025907,0.181347,6.610828,386,275,205,183,10,70,9.075,10.35,275,205,70,0.254545,1.0
