group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,qc_config_match,config_fingerprint,agent_count,total_days,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,task_count,attempts,successes,help_seek_count,abandon_count,negative_feedback_count,trust_delta,avoidance_delta,emitted,positives,negatives,neg_share,emit_given_attempt
stage6_single_10day_3seed_logical_clock_20260408,0,101,0,baseline_low_friction,547e453b-549e-45b8-ba3b-af17f2dcf29d,ok,1,a09f10b287d41cb6,10,10,0.691327,0.385204,0.385204,0.09949,0.306122,31.168765,392,271,151,151,39,120,-32.55,38.475,271,151,120,0.442804,1.0
stage6_single_10day_3seed_logical_clock_20260408,0,101,1,high_friction_low_assist,716a2b28-f426-46c5-a1b7-ee4d07c526c9,ok,1,a09f10b287d41cb6,10,10,0.301587,0.025794,0.190476,0.10119,0.275794,51.31209,504,152,13,96,51,139,-52.075,46.775,152,13,139,0.914474,1.0
stage6_single_10day_3seed_logical_clock_20260408,0,101,2,high_friction_high_assist,18af7b7c-c3f8-4117-9d5c-6eedb3686c42,ok,1,a09f10b287d41cb6,10,10,0.613692,0.207824,0.420538,0.134474,0.405868,47.633682,409,251,85,172,55,166,-54.075,52.6,251,85,166,0.661355,1.0
stage6_single_10day_3seed_logical_clock_20260408,0,101,3,low_friction_high_assist,b87f09f3-06c9-4d26-9734-8556f647237b,ok,1,a09f10b287d41cb6,10,10,0.793872,0.56546,0.504178,0.041783,0.228412,6.906609,359,285,203,181,15,82,9.075,4.1,285,203,82,0.287719,1.0
stage6_single_10day_3seed_logical_clock_20260408,1,102,0,baseline_low_friction,c346c533-60b4-4f61-9775-7f013d5f09c2,ok,1,a09f10b287d41cb6,10,10,0.683544,0.387342,0.379747,0.065823,0.296203,32.437634,395,270,153,150,26,117,-31.775,42.825,270,153,117,0.433333,1.0
stage6_single_10day_3seed_logical_clock_20260408,1,102,1,high_friction_low_assist,2f99021a-a383-4b8c-b755-97ee1a35ba7b,ok,1,a09f10b287d41cb6,10,10,0.382536,0.04158,0.239085,0.133056,0.340956,51.306549,481,184,20,115,64,164,-51.175,47.675,184,20,164,0.891304,1.0
stage6_single_10day_3seed_logical_clock_20260408,1,102,2,high_friction_high_assist,8eeac31f-7fe4-4407-af42-fc40f1d30a09,ok,1,a09f10b287d41cb6,10,10,0.539171,0.200461,0.317972,0.099078,0.33871,41.733629,434,234,87,138,43,147,-46.35,47.15,234,87,147,0.628205,1.0
stage6_single_10day_3seed_logical_clock_20260408,1,102,3,low_friction_high_assist,9d4a0d9f-f2c8-45a1-a3ac-acf7dc092723,ok,1,a09f10b287d41cb6,10,10,0.816384,0.610169,0.463277,0.028249,0.206215,2.352164,354,289,216,164,10,73,12.225,1.35,289,216,73,0.252595,1.0
stage6_single_10day_3seed_logical_clock_20260408,2,103,0,baseline_low_friction,f199f521-683b-461b-9a9e-e0f627d601f1,ok,1,a09f10b287d41cb6,10,10,0.664975,0.362944,0.416244,0.083756,0.30203,34.760011,394,262,143,164,33,119,-32.75,40.925,262,143,119,0.454198,1.0
stage6_single_10day_3seed_logical_clock_20260408,2,103,1,high_friction_low_assist,eebc7539-1044-4bb0-ab35-260819391f36,ok,1,a09f10b287d41cb6,10,10,0.308911,0.039604,0.205941,0.085149,0.269307,51.588894,505,156,20,104,43,136,-53.175,49.275,156,20,136,0.871795,1.0
stage6_single_10day_3seed_logical_clock_20260408,2,103,2,high_friction_high_assist,5cc2e71b-eb89-4132-99c3-cb1dddaf49dc,ok,1,a09f10b287d41cb6,10,10,0.539535,0.202326,0.393023,0.123256,0.337209,52.935297,430,232,87,169,53,145,-62.7,58.575,232,87,145,0.625,1.0
stage6_single_10day_3seed_logical_clock_20260408,2,103,3,low_friction_high_assist,04ffc6a9-8308-45a4-be86-b9539b5c3397,ok,1,a09f10b287d41cb6,10,10,0.757493,0.544959,0.455041,0.035422,0.212534,7.634362,367,278,200,167,13,78,1.875,10.55,278,200,78,0.280576,1.0
