agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 63}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 71}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 63}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 17}","{""success_experience"": 69}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 24}","{""success_experience"": 60}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}","{""success_experience"": 70}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 68}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 24}","{""success_experience"": 61}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 72}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 23}","{""success_experience"": 65}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
