agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 8}","{""success_experience"": 35}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 23}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}","{""success_experience"": 23}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}","{""success_experience"": 28}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 27}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 29}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 6}","{""success_experience"": 37}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 32}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 28}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 7}","{""success_experience"": 32}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
