agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 30}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 37}","{""success_experience"": 23}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 33}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 32}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 33}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 31}","{""success_experience"": 20}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 30}","{""success_experience"": 42}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 36}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 36}","{""success_experience"": 13}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 37}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
