agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,10,21601.0,1021601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}",{},"{""event_emitted_without_reason_tag"": 55}",stage=steady; events=55; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
2,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,10,21601.0,1021601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}",{},"{""event_emitted_without_reason_tag"": 52}",stage=steady; events=52; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
4,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 50}",stage=steady; events=50; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 50}",stage=steady; events=50; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 46}",stage=steady; events=46; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 47}",stage=steady; events=47; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,10,21601.0,1021601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}",{},"{""event_emitted_without_reason_tag"": 53}",stage=steady; events=53; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
9,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 47}",stage=steady; events=47; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 44}",stage=steady; events=44; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
