agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 27}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 20}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 17}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 48}",stage=steady; events=48; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
