agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 4}",stage=steady; events=4; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,1,21601.0,121601,steady,0,[],"[""success_experience""]","[""event_emitted_without_reason_tag""]",{},"{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=success_experience
4,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 2}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 2}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 4}",stage=steady; events=4; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,1,21601.0,121601,steady,0,[],"[""success_experience""]","[""event_emitted_without_reason_tag""]",{},"{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 5}",stage=steady; events=5; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=success_experience
8,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,1,21601.0,121601,steady,0,[],"[""success_experience""]","[""event_emitted_without_reason_tag""]",{},"{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 4}",stage=steady; events=4; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=success_experience
10,1,21601.0,121601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 3}",stage=steady; events=3; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
