agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,"[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""match_llm_primary"", ""scenario_social_contact_coordination""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 2, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_social_contact_coordination"": 2, ""llm_match_low_confidence"": 2}","{""recent_success"": 5, ""digital_intention_signal"": 4, ""match_llm_primary"": 5, ""scenario_social_contact_coordination"": 5, ""llm_match_low_confidence"": 5, ""digital_step_signal"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1}","{""recent_step_success_supports_positive"": 5, ""high_friction_with_low_buffer"": 2}","stage=steady; events=7; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=recent_success,digital_action_signal,digital_status_signal; top_positive=recent_success,match_llm_primary,scenario_social_contact_coordination"
2,1,21601.0,121601,steady,0,[],"[""recent_success"", ""match_llm_primary"", ""scenario_social_contact_coordination""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 3, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 3, ""scenario_social_contact_coordination"": 3, ""llm_match_low_confidence"": 3, ""digital_step_signal"": 1}","{""recent_step_success_supports_positive"": 3}","stage=steady; events=3; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,match_llm_primary,scenario_social_contact_coordination"
3,1,21601.0,121601,steady,0,"[""recent_failure"", ""digital_status_signal"", ""digital_intention_signal""]","[""recent_success"", ""match_llm_primary"", ""scenario_social_contact_coordination""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 5, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""digital_step_signal"": 4, ""match_llm_primary"": 5, ""scenario_social_contact_coordination"": 5, ""llm_match_low_confidence"": 5}","{""step_failure_under_friction"": 1, ""recent_step_success_supports_positive"": 5}","stage=steady; events=6; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=recent_failure,digital_status_signal,digital_intention_signal; top_positive=recent_success,match_llm_primary,scenario_social_contact_coordination"
4,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_action_signal"", ""digital_intention_signal""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_intention_signal"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=steady; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_action_signal,digital_intention_signal"
5,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_intention_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 3, ""scenario_social_contact_coordination"": 3, ""llm_match_low_confidence"": 3, ""digital_step_signal"": 1}","{""recent_step_success_supports_positive"": 3}","stage=steady; events=3; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_intention_signal,match_llm_primary"
6,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_step_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=steady; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_step_signal,match_llm_primary"
1,2,21601.0,221601,shock,1,"[""high_friction"", ""recent_success"", ""digital_step_signal""]","[""high_friction"", ""recent_success"", ""digital_action_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative""]","{""high_friction"": 1, ""recent_success"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""high_friction"": 1, ""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 1, ""low_trust_amplified_negative"": 1}","stage=shock; events=2; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative; top_negative=high_friction,recent_success,digital_step_signal; top_positive=high_friction,recent_success,digital_action_signal"
2,2,21601.0,221601,shock,1,"[""high_friction"", ""recent_failure"", ""digital_status_signal""]",[],"[""step_failure_under_friction""]","{""high_friction"": 1, ""recent_failure"": 1, ""digital_status_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}",{},"{""step_failure_under_friction"": 1}","stage=shock; events=1; top_primary=step_failure_under_friction; top_negative=high_friction,recent_failure,digital_status_signal; top_positive=none"
3,2,21601.0,221601,shock,1,"[""high_friction"", ""recent_success"", ""digital_action_signal""]","[""high_friction"", ""recent_success"", ""digital_step_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative""]","{""high_friction"": 1, ""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""high_friction"": 2, ""recent_success"": 2, ""digital_step_signal"": 2, ""match_llm_primary"": 2, ""scenario_social_contact_coordination"": 2, ""llm_match_low_confidence"": 2, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1}","{""low_trust_amplified_negative"": 1, ""recent_step_success_supports_positive"": 2}","stage=shock; events=3; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative; top_negative=high_friction,recent_success,digital_action_signal; top_positive=high_friction,recent_success,digital_step_signal"
4,2,21601.0,221601,shock,1,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=shock; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
5,2,21601.0,221601,shock,1,"[""high_friction"", ""recent_failure"", ""digital_action_signal""]","[""high_friction"", ""recent_success"", ""digital_intention_signal""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""high_friction"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""high_friction"": 3, ""recent_success"": 3, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 3, ""match_llm_primary"": 3, ""scenario_social_contact_coordination"": 3, ""llm_match_low_confidence"": 3}","{""recent_step_success_supports_positive"": 3, ""step_failure_under_friction"": 1}","stage=shock; events=4; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=high_friction,recent_failure,digital_action_signal; top_positive=high_friction,recent_success,digital_intention_signal"
