agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 43}",stage=steady; events=43; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 45}",stage=steady; events=45; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 49}",stage=steady; events=49; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 47}",stage=steady; events=47; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 39}",stage=steady; events=39; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 11}","{""event_emitted_without_reason_tag"": 38}",stage=steady; events=38; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 46}",stage=steady; events=46; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 43}",stage=steady; events=43; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 41}",stage=steady; events=41; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 40}",stage=steady; events=40; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
