agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 53}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 56}","{""success_experience"": 22}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 44}","{""success_experience"": 21}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 55}","{""success_experience"": 26}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 53}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 54}","{""success_experience"": 26}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 58}","{""success_experience"": 48}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 62}","{""success_experience"": 20}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 37}","{""success_experience"": 28}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 46}","{""success_experience"": 23}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 43}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 44}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 45}","{""success_experience"": 17}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 40}","{""success_experience"": 28}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 39}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 44}","{""success_experience"": 15}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 58}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 38}","{""success_experience"": 18}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 48}","{""success_experience"": 29}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 48}","{""success_experience"": 18}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 17}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 41}","{""success_experience"": 13}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 48}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 45}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 35}","{""success_experience"": 18}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 45}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 48}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 38}","{""success_experience"": 17}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 47}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 44}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
