agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}",{},"{""event_emitted_without_reason_tag"": 37}",stage=steady; events=37; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
2,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}",{},"{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
3,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}",{},"{""event_emitted_without_reason_tag"": 37}",stage=steady; events=37; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
4,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 29}",stage=steady; events=29; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}",{},"{""event_emitted_without_reason_tag"": 33}",stage=steady; events=33; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
7,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 28}",stage=steady; events=28; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 29}",stage=steady; events=29; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 31}",stage=steady; events=31; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
