agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 40}","{""success_experience"": 25}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 39}","{""success_experience"": 41}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 34}","{""success_experience"": 23}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 47}","{""success_experience"": 31}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 61}","{""success_experience"": 67}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 51}","{""success_experience"": 119}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 43}","{""success_experience"": 65}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 62}","{""success_experience"": 55}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 32}","{""success_experience"": 38}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 57}","{""success_experience"": 78}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
