agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 27}","{""success_experience"": 32}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 46}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 21}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 28}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 25}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 31}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 28}","{""success_experience"": 22}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 27}","{""success_experience"": 45}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 20}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 53}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
