agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 52}",stage=steady; events=52; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 41}",stage=steady; events=41; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 49}",stage=steady; events=49; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 44}",stage=steady; events=44; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 14}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 47}",stage=steady; events=47; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 15}","{""event_emitted_without_reason_tag"": 36}",stage=steady; events=36; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 45}",stage=steady; events=45; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 47}",stage=steady; events=47; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 17}","{""success_experience"": 13}","{""event_emitted_without_reason_tag"": 39}",stage=steady; events=39; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
