agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 3}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 3}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
3,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 2}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
4,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 4}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
5,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 3}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 6}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
2,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
3,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
4,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
5,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
6,4,21601.0,421601,shock,1,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
1,6,21601.0,621601,recovery,2,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}",{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
2,6,21601.0,621601,recovery,2,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
3,6,21601.0,621601,recovery,2,[],[],"[""event_emitted_without_reason_tag""]",{},{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=none; top_positive=none
4,6,21601.0,621601,recovery,2,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}",{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
5,6,21601.0,621601,recovery,2,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}",{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
6,6,21601.0,621601,recovery,2,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 1}",{},"{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
