agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,[],"[""digital_step_signal"", ""match_llm_primary"", ""llm_match_high_confidence""]","[""supportive_context_or_success_signal"", ""recent_step_success_supports_positive""]",{},"{""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""digital_step_signal"": 2, ""match_llm_primary"": 2, ""scenario_social_contact_coordination"": 1, ""llm_match_high_confidence"": 2, ""recent_success"": 1, ""scenario_digital_general"": 1}","{""supportive_context_or_success_signal"": 1, ""recent_step_success_supports_positive"": 1}","stage=steady; events=2; top_primary=supportive_context_or_success_signal,recent_step_success_supports_positive; top_negative=none; top_positive=digital_step_signal,match_llm_primary,llm_match_high_confidence"
2,2,21601.0,221601,steady,0,"[""recent_failure"", ""digital_status_signal"", ""digital_intention_signal""]","[""recent_success"", ""digital_intention_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""digital_step_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 5, ""digital_action_signal"": 3, ""digital_status_signal"": 3, ""digital_intention_signal"": 4, ""match_llm_primary"": 4, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 4, ""match_rule_fallback"": 1, ""scenario_payment_transfer"": 1, ""llm_match_low_confidence"": 1, ""digital_step_signal"": 1, ""scenario_login_captcha"": 1}","{""recent_step_success_supports_positive"": 5, ""step_failure_under_friction"": 1}","stage=steady; events=6; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=recent_failure,digital_status_signal,digital_intention_signal; top_positive=recent_success,digital_intention_signal,match_llm_primary"
3,2,21601.0,221601,steady,0,"[""digital_action_signal"", ""digital_status_signal"", ""digital_intention_signal""]","[""recent_success"", ""digital_intention_signal"", ""digital_step_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""digital_step_signal"": 2, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""recent_success"": 2, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2}","{""recent_success"": 5, ""digital_intention_signal"": 3, ""match_random_fallback"": 2, ""scenario_payment_transfer"": 2, ""digital_step_signal"": 3, ""match_rule_fallback"": 1, ""scenario_ride_hailing"": 1, ""match_llm_primary"": 2, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 2, ""digital_action_signal"": 1, ""scenario_ecommerce_order_flow"": 1}","{""recent_step_success_supports_positive"": 5, ""step_failure_under_friction"": 1, ""low_trust_amplified_negative"": 2}","stage=steady; events=8; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,step_failure_under_friction; top_negative=digital_action_signal,digital_status_signal,digital_intention_signal; top_positive=recent_success,digital_intention_signal,digital_step_signal"
4,2,21601.0,221601,steady,0,"[""recent_success"", ""digital_step_signal"", ""match_llm_primary""]","[""match_llm_primary"", ""llm_match_high_confidence"", ""recent_success""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer"", ""supportive_context_or_success_signal""]","{""recent_success"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 4, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 4, ""digital_step_signal"": 2, ""recent_failure"": 1, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""scenario_social_contact_coordination"": 1}","{""high_friction_with_low_buffer"": 1, ""recent_step_success_supports_positive"": 3, ""supportive_context_or_success_signal"": 1}","stage=steady; events=5; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer,supportive_context_or_success_signal; top_negative=recent_success,digital_step_signal,match_llm_primary; top_positive=match_llm_primary,llm_match_high_confidence,recent_success"
5,2,21601.0,221601,steady,0,"[""digital_status_signal"", ""digital_step_signal"", ""recent_success""]","[""recent_success"", ""digital_intention_signal"", ""digital_action_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""step_failure_under_friction""]","{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 2, ""digital_intention_signal"": 1, ""digital_step_signal"": 2, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1, ""recent_failure"": 1, ""match_rule_fallback"": 1, ""scenario_ride_hailing"": 1}","{""recent_success"": 2, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 2, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1, ""match_rule_fallback"": 1, ""scenario_account_auth_security"": 1}","{""low_trust_amplified_negative"": 1, ""recent_step_success_supports_positive"": 2, ""step_failure_under_friction"": 1}","stage=steady; events=4; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,step_failure_under_friction; top_negative=digital_status_signal,digital_step_signal,recent_success; top_positive=recent_success,digital_intention_signal,digital_action_signal"
6,2,21601.0,221601,steady,0,"[""recent_failure"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""match_llm_primary"", ""scenario_digital_general""]","[""step_failure_under_friction"", ""recent_step_success_supports_positive""]","{""recent_failure"": 3, ""digital_action_signal"": 3, ""digital_status_signal"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 2, ""scenario_social_contact_coordination"": 3, ""llm_match_high_confidence"": 2, ""digital_step_signal"": 1, ""match_rule_fallback"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 2, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""digital_step_signal"": 1}","{""recent_step_success_supports_positive"": 2, ""step_failure_under_friction"": 3}","stage=steady; events=5; top_primary=step_failure_under_friction,recent_step_success_supports_positive; top_negative=recent_failure,digital_action_signal,digital_status_signal; top_positive=recent_success,match_llm_primary,scenario_digital_general"
1,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_action_signal"", ""digital_intention_signal""]","[""high_friction"", ""recent_success"", ""digital_intention_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""step_failure_under_friction""]","{""high_friction"": 3, ""recent_success"": 2, ""digital_action_signal"": 3, ""digital_status_signal"": 2, ""digital_intention_signal"": 3, ""match_random_fallback"": 1, ""scenario_app_update_permission"": 1, ""match_llm_primary"": 1, ""scenario_account_auth_security"": 1, ""llm_match_high_confidence"": 1, ""recent_failure"": 1, ""digital_step_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""high_friction"": 3, ""recent_success"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 3, ""scenario_login_captcha"": 1, ""llm_match_high_confidence"": 3, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""scenario_account_auth_security"": 1, ""scenario_digital_general"": 1}","{""recent_step_success_supports_positive"": 3, ""low_trust_amplified_negative"": 2, ""step_failure_under_friction"": 1}","stage=shock; events=6; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,step_failure_under_friction; top_negative=high_friction,digital_action_signal,digital_intention_signal; top_positive=high_friction,recent_success,digital_intention_signal"
2,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_intention_signal"", ""recent_failure""]","[""high_friction"", ""recent_success"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction"", ""low_trust_amplified_negative""]","{""high_friction"": 3, ""recent_failure"": 2, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 3, ""digital_step_signal"": 2, ""match_rule_fallback"": 2, ""scenario_social_contact_coordination"": 2, ""llm_match_low_confidence"": 2, ""recent_success"": 1, ""match_llm_primary"": 1, ""scenario_login_captcha"": 1, ""llm_match_high_confidence"": 1}","{""high_friction"": 3, ""recent_success"": 3, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 3, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 3, ""digital_step_signal"": 1, ""scenario_ecommerce_order_flow"": 1}","{""recent_step_success_supports_positive"": 3, ""step_failure_under_friction"": 2, ""low_trust_amplified_negative"": 1}","stage=shock; events=6; top_primary=recent_step_success_supports_positive,step_failure_under_friction,low_trust_amplified_negative; top_negative=high_friction,digital_intention_signal,recent_failure; top_positive=high_friction,recent_success,match_llm_primary"
3,4,21601.0,421601,shock,1,"[""high_friction"", ""recent_success"", ""digital_intention_signal""]","[""high_friction"", ""recent_success"", ""digital_intention_signal""]","[""low_trust_amplified_negative"", ""recent_step_success_supports_positive""]","{""high_friction"": 11, ""recent_success"": 11, ""digital_action_signal"": 7, ""digital_status_signal"": 6, ""digital_intention_signal"": 11, ""match_llm_primary"": 3, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 3, ""match_rule_fallback"": 8, ""scenario_payment_transfer"": 1, ""llm_match_low_confidence"": 5, ""digital_step_signal"": 7, ""scenario_ride_hailing"": 7, ""scenario_account_auth_security"": 1}","{""high_friction"": 7, ""recent_success"": 7, ""digital_intention_signal"": 5, ""match_rule_fallback"": 5, ""scenario_account_auth_security"": 2, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""digital_step_signal"": 4, ""scenario_ride_hailing"": 3, ""llm_match_low_confidence"": 3}","{""recent_step_success_supports_positive"": 7, ""low_trust_amplified_negative"": 11}","stage=shock; events=18; top_primary=low_trust_amplified_negative,recent_step_success_supports_positive; top_negative=high_friction,recent_success,digital_intention_signal; top_positive=high_friction,recent_success,digital_intention_signal"
4,4,21601.0,421601,shock,1,[],"[""high_friction"", ""match_llm_primary"", ""llm_match_high_confidence""]","[""recent_step_success_supports_positive"", ""supportive_context_or_success_signal""]",{},"{""high_friction"": 5, ""recent_success"": 4, ""digital_step_signal"": 2, ""match_llm_primary"": 5, ""scenario_digital_general"": 4, ""llm_match_high_confidence"": 5, ""digital_action_signal"": 3, ""digital_status_signal"": 4, ""digital_intention_signal"": 4, ""recent_failure"": 1, ""scenario_social_contact_coordination"": 1}","{""recent_step_success_supports_positive"": 4, ""supportive_context_or_success_signal"": 1}","stage=shock; events=5; top_primary=recent_step_success_supports_positive,supportive_context_or_success_signal; top_negative=none; top_positive=high_friction,match_llm_primary,llm_match_high_confidence"
