agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}",{},"{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
2,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}",{},"{""event_emitted_without_reason_tag"": 36}",stage=steady; events=36; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
3,7,21601.0,721601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}",{},"{""event_emitted_without_reason_tag"": 33}",stage=steady; events=33; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
4,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 30}",stage=steady; events=30; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 30}",stage=steady; events=30; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 32}",stage=steady; events=32; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 35}",stage=steady; events=35; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 31}",stage=steady; events=31; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 4}","{""event_emitted_without_reason_tag"": 34}",stage=steady; events=34; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 29}",stage=steady; events=29; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
