agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""digital_status_signal"", ""recent_failure"", ""digital_action_signal""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""step_failure_under_friction"", ""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 3, ""digital_status_signal"": 11, ""match_llm_primary"": 6, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 6, ""recent_failure"": 8, ""digital_action_signal"": 8, ""digital_intention_signal"": 8, ""match_rule_fallback"": 5, ""scenario_social_contact_coordination"": 8, ""llm_match_low_confidence"": 4}","{""recent_success"": 7, ""digital_status_signal"": 7, ""match_llm_primary"": 7, ""scenario_digital_general"": 5, ""llm_match_high_confidence"": 7, ""digital_action_signal"": 3, ""digital_intention_signal"": 3, ""scenario_ecommerce_order_flow"": 1, ""scenario_social_contact_coordination"": 1}","{""high_friction_with_low_buffer"": 2, ""recent_step_success_supports_positive"": 7, ""step_failure_under_friction"": 8, ""low_trust_amplified_negative"": 1}","stage=steady; events=18; top_primary=step_failure_under_friction,recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=digital_status_signal,recent_failure,digital_action_signal; top_positive=recent_success,digital_status_signal,match_llm_primary"
2,2,21601.0,221601,steady,0,"[""digital_status_signal"", ""recent_success"", ""match_llm_primary""]","[""digital_status_signal"", ""recent_success"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""supportive_context_or_success_signal""]","{""recent_success"": 2, ""digital_status_signal"": 3, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 1, ""digital_action_signal"": 2, ""digital_intention_signal"": 2, ""llm_match_low_confidence"": 2, ""recent_failure"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}","{""recent_success"": 4, ""digital_status_signal"": 5, ""match_llm_primary"": 4, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 3, ""digital_action_signal"": 1, ""digital_intention_signal"": 1, ""scenario_notification_risk_interrupt"": 1, ""llm_match_low_confidence"": 2, ""recent_failure"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}","{""recent_step_success_supports_positive"": 4, ""low_trust_amplified_negative"": 2, ""supportive_context_or_success_signal"": 1, ""step_failure_under_friction"": 1}","stage=steady; events=8; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,supportive_context_or_success_signal; top_negative=digital_status_signal,recent_success,match_llm_primary; top_positive=digital_status_signal,recent_success,match_llm_primary"
3,2,21601.0,221601,steady,0,"[""digital_status_signal"", ""recent_failure"", ""digital_action_signal""]","[""digital_status_signal"", ""recent_success"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction"", ""low_trust_amplified_negative""]","{""recent_success"": 1, ""digital_status_signal"": 4, ""match_llm_primary"": 1, ""scenario_ecommerce_order_flow"": 1, ""llm_match_high_confidence"": 1, ""recent_failure"": 3, ""digital_action_signal"": 3, ""digital_intention_signal"": 3, ""match_rule_fallback"": 3, ""scenario_social_contact_coordination"": 3, ""llm_match_low_confidence"": 3}","{""recent_success"": 6, ""digital_status_signal"": 7, ""match_rule_fallback"": 3, ""scenario_payment_transfer"": 1, ""digital_action_signal"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 4, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 4, ""scenario_ride_hailing"": 1, ""scenario_ecommerce_order_flow"": 1, ""recent_failure"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 6, ""low_trust_amplified_negative"": 1, ""step_failure_under_friction"": 3, ""supportive_context_or_success_signal"": 1}","stage=steady; events=11; top_primary=recent_step_success_supports_positive,step_failure_under_friction,low_trust_amplified_negative; top_negative=digital_status_signal,recent_failure,digital_action_signal; top_positive=digital_status_signal,recent_success,match_llm_primary"
4,2,21601.0,221601,steady,0,"[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_success"", ""match_llm_primary"", ""llm_match_high_confidence""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 1, ""digital_status_signal"": 1, ""match_llm_primary"": 1, ""scenario_ecommerce_order_flow"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 7, ""digital_action_signal"": 3, ""digital_status_signal"": 6, ""digital_intention_signal"": 3, ""match_llm_primary"": 7, ""scenario_digital_general"": 6, ""llm_match_high_confidence"": 7, ""scenario_ecommerce_order_flow"": 1}","{""recent_step_success_supports_positive"": 7, ""high_friction_with_low_buffer"": 1}","stage=steady; events=8; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=recent_success,digital_status_signal,match_llm_primary; top_positive=recent_success,match_llm_primary,llm_match_high_confidence"
5,2,21601.0,221601,steady,0,"[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative""]","{""recent_success"": 1, ""digital_status_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 6, ""digital_status_signal"": 6, ""match_llm_primary"": 6, ""scenario_digital_general"": 5, ""llm_match_high_confidence"": 6, ""digital_action_signal"": 1, ""digital_intention_signal"": 1, ""scenario_social_contact_coordination"": 1}","{""recent_step_success_supports_positive"": 6, ""low_trust_amplified_negative"": 1}","stage=steady; events=7; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative; top_negative=recent_success,digital_status_signal,match_llm_primary; top_positive=recent_success,digital_status_signal,match_llm_primary"
6,2,21601.0,221601,steady,0,"[""digital_status_signal"", ""recent_success"", ""match_llm_primary""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer"", ""step_failure_under_friction""]","{""recent_success"": 1, ""digital_status_signal"": 2, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 4, ""digital_status_signal"": 4, ""match_llm_primary"": 4, ""scenario_digital_general"": 4, ""llm_match_high_confidence"": 4, ""digital_action_signal"": 1, ""digital_intention_signal"": 1}","{""high_friction_with_low_buffer"": 1, ""recent_step_success_supports_positive"": 4, ""step_failure_under_friction"": 1}","stage=steady; events=6; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer,step_failure_under_friction; top_negative=digital_status_signal,recent_success,match_llm_primary; top_positive=recent_success,digital_status_signal,match_llm_primary"
1,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_status_signal"", ""match_llm_primary""]","[""high_friction"", ""recent_success"", ""digital_status_signal""]","[""low_trust_amplified_negative"", ""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""high_friction"": 10, ""recent_success"": 6, ""digital_status_signal"": 10, ""match_llm_primary"": 7, ""scenario_digital_general"": 4, ""llm_match_high_confidence"": 7, ""recent_failure"": 4, ""digital_action_signal"": 7, ""digital_intention_signal"": 7, ""match_rule_fallback"": 3, ""scenario_social_contact_coordination"": 6, ""llm_match_low_confidence"": 1}","{""high_friction"": 6, ""recent_success"": 6, ""digital_status_signal"": 6, ""match_llm_primary"": 6, ""scenario_digital_general"": 4, ""llm_match_high_confidence"": 6, ""digital_action_signal"": 3, ""digital_intention_signal"": 3, ""scenario_social_contact_coordination"": 2}","{""low_trust_amplified_negative"": 6, ""recent_step_success_supports_positive"": 6, ""step_failure_under_friction"": 4}","stage=shock; events=16; top_primary=low_trust_amplified_negative,recent_step_success_supports_positive,step_failure_under_friction; top_negative=high_friction,digital_status_signal,match_llm_primary; top_positive=high_friction,recent_success,digital_status_signal"
2,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_status_signal"", ""digital_action_signal""]","[""high_friction"", ""recent_success"", ""digital_status_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""step_failure_under_friction""]","{""high_friction"": 5, ""recent_failure"": 2, ""digital_action_signal"": 3, ""digital_status_signal"": 5, ""digital_intention_signal"": 3, ""match_rule_fallback"": 2, ""scenario_social_contact_coordination"": 2, ""llm_match_low_confidence"": 2, ""recent_success"": 3, ""match_llm_primary"": 3, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 3}","{""high_friction"": 5, ""recent_success"": 5, ""digital_status_signal"": 5, ""match_llm_primary"": 5, ""scenario_ecommerce_order_flow"": 1, ""llm_match_high_confidence"": 5, ""scenario_digital_general"": 4}","{""recent_step_success_supports_positive"": 5, ""step_failure_under_friction"": 2, ""low_trust_amplified_negative"": 3}","stage=shock; events=10; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,step_failure_under_friction; top_negative=high_friction,digital_status_signal,digital_action_signal; top_positive=high_friction,recent_success,digital_status_signal"
3,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_status_signal"", ""match_rule_fallback""]","[""high_friction"", ""recent_success"", ""digital_status_signal""]","[""recent_step_success_supports_positive"", ""low_trust_amplified_negative"", ""step_failure_under_friction""]","{""high_friction"": 7, ""recent_success"": 4, ""digital_status_signal"": 7, ""match_rule_fallback"": 5, ""scenario_ride_hailing"": 1, ""llm_match_low_confidence"": 5, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""recent_failure"": 3, ""digital_action_signal"": 3, ""digital_intention_signal"": 3, ""scenario_social_contact_coordination"": 3, ""scenario_payment_transfer"": 1}","{""high_friction"": 4, ""recent_success"": 4, ""digital_status_signal"": 4, ""match_rule_fallback"": 4, ""scenario_digital_general"": 2, ""llm_match_low_confidence"": 3, ""digital_action_signal"": 1, ""digital_intention_signal"": 1, ""scenario_ride_hailing"": 1, ""scenario_payment_transfer"": 1}","{""recent_step_success_supports_positive"": 4, ""low_trust_amplified_negative"": 4, ""step_failure_under_friction"": 3}","stage=shock; events=11; top_primary=recent_step_success_supports_positive,low_trust_amplified_negative,step_failure_under_friction; top_negative=high_friction,digital_status_signal,match_rule_fallback; top_positive=high_friction,recent_success,digital_status_signal"
4,4,21601.0,421601,shock,1,"[""high_friction"", ""recent_success"", ""digital_status_signal""]","[""high_friction"", ""recent_success"", ""digital_status_signal""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""high_friction"": 3, ""recent_success"": 3, ""digital_status_signal"": 3, ""match_llm_primary"": 3, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 3, ""digital_action_signal"": 1, ""digital_intention_signal"": 1}","{""high_friction"": 5, ""recent_success"": 5, ""digital_status_signal"": 5, ""match_llm_primary"": 5, ""scenario_digital_general"": 5, ""llm_match_high_confidence"": 5, ""digital_action_signal"": 1, ""digital_intention_signal"": 1}","{""recent_step_success_supports_positive"": 5, ""high_friction_with_low_buffer"": 3}","stage=shock; events=8; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=high_friction,recent_success,digital_status_signal; top_positive=high_friction,recent_success,digital_status_signal"
