agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 25}","{""success_experience"": 46}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 49}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 28}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 24}","{""success_experience"": 55}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 28}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 59}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 25}","{""success_experience"": 52}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 32}","{""success_experience"": 22}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 25}","{""success_experience"": 17}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 29}","{""success_experience"": 48}","{""event_emitted_without_reason_tag"": 96}",stage=steady; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 10}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 31}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 26}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 34}","{""success_experience"": 9}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 30}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 96}",stage=shock; events=96; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
