agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=steady; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
2,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_ride_hailing"": 1, ""llm_match_high_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=steady; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_action_signal,digital_status_signal"
3,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_intention_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_ride_hailing"": 2, ""llm_match_high_confidence"": 2}","{""recent_step_success_supports_positive"": 2}","stage=steady; events=2; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_intention_signal,match_llm_primary"
4,1,21601.0,121601,steady,0,[],"[""recent_failure"", ""digital_status_signal"", ""digital_step_signal""]","[""supportive_context_or_success_signal""]",{},"{""recent_failure"": 1, ""digital_status_signal"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_ride_hailing"": 1, ""llm_match_high_confidence"": 1}","{""supportive_context_or_success_signal"": 1}","stage=steady; events=1; top_primary=supportive_context_or_success_signal; top_negative=none; top_positive=recent_failure,digital_status_signal,digital_step_signal"
5,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_intention_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_ride_hailing"": 2, ""llm_match_high_confidence"": 2, ""digital_action_signal"": 1, ""digital_status_signal"": 1}","{""recent_step_success_supports_positive"": 2}","stage=steady; events=2; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_intention_signal,match_llm_primary"
6,1,21601.0,121601,steady,0,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=steady; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
1,2,21601.0,221601,shock,1,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=shock; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
2,2,21601.0,221601,shock,1,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=shock; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
3,2,21601.0,221601,shock,1,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=shock; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
4,2,21601.0,221601,shock,1,[],"[""high_friction"", ""recent_success"", ""digital_step_signal""]","[""recent_step_success_supports_positive""]",{},"{""high_friction"": 1, ""recent_success"": 1, ""digital_step_signal"": 1, ""match_llm_primary"": 1, ""scenario_ride_hailing"": 1, ""llm_match_high_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=shock; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=high_friction,recent_success,digital_step_signal"
