agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 8}","{""success_experience"": 11}","{""event_emitted_without_reason_tag"": 26}",stage=steady; events=26; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 6}","{""success_experience"": 15}","{""event_emitted_without_reason_tag"": 26}",stage=steady; events=26; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 28}",stage=steady; events=28; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 7}","{""success_experience"": 14}","{""event_emitted_without_reason_tag"": 25}",stage=steady; events=25; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 7}","{""success_experience"": 13}","{""event_emitted_without_reason_tag"": 25}",stage=steady; events=25; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 22}",stage=steady; events=22; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 8}","{""success_experience"": 5}","{""event_emitted_without_reason_tag"": 31}",stage=steady; events=31; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}","{""success_experience"": 11}","{""event_emitted_without_reason_tag"": 26}",stage=steady; events=26; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}","{""success_experience"": 8}","{""event_emitted_without_reason_tag"": 30}",stage=steady; events=30; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,7,21601.0,721601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 30}",stage=steady; events=30; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
