agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
2,2,21601.0,221601,steady,0,"[""negative_feedback""]",[],"[""event_emitted_without_reason_tag""]","{""negative_feedback"": 23}",{},"{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=none
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 23}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 21}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 25}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 19}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 15}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 18}","{""success_experience"": 1}","{""event_emitted_without_reason_tag"": 192}",stage=steady; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
