agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 13}","{""event_emitted_without_reason_tag"": 41}",stage=steady; events=41; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 13}","{""success_experience"": 16}","{""event_emitted_without_reason_tag"": 35}",stage=steady; events=35; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 11}","{""event_emitted_without_reason_tag"": 42}",stage=steady; events=42; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 11}","{""event_emitted_without_reason_tag"": 42}",stage=steady; events=42; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 12}","{""success_experience"": 14}","{""event_emitted_without_reason_tag"": 44}",stage=steady; events=44; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 16}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 36}",stage=steady; events=36; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 11}","{""success_experience"": 12}","{""event_emitted_without_reason_tag"": 44}",stage=steady; events=44; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}","{""success_experience"": 19}","{""event_emitted_without_reason_tag"": 36}",stage=steady; events=36; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 9}","{""success_experience"": 15}","{""event_emitted_without_reason_tag"": 42}",stage=steady; events=42; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,10,21601.0,1021601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 10}","{""success_experience"": 20}","{""event_emitted_without_reason_tag"": 32}",stage=steady; events=32; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
