agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""recent_failure"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""digital_action_signal"", ""digital_intention_signal""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_payment_transfer"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 5, ""digital_action_signal"": 5, ""digital_status_signal"": 4, ""digital_intention_signal"": 5, ""match_llm_primary"": 5, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 5, ""scenario_account_auth_security"": 3}","{""recent_step_success_supports_positive"": 5, ""step_failure_under_friction"": 1}","stage=steady; events=6; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=recent_failure,digital_action_signal,digital_status_signal; top_positive=recent_success,digital_action_signal,digital_intention_signal"
2,2,21601.0,221601,steady,0,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=steady; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
3,2,21601.0,221601,steady,0,"[""recent_failure"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""step_failure_under_friction"", ""recent_step_success_supports_positive""]","{""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""step_failure_under_friction"": 1, ""recent_step_success_supports_positive"": 1}","stage=steady; events=2; top_primary=step_failure_under_friction,recent_step_success_supports_positive; top_negative=recent_failure,digital_action_signal,digital_status_signal; top_positive=recent_success,digital_action_signal,digital_status_signal"
4,2,21601.0,221601,steady,0,[],"[""recent_success"", ""digital_action_signal"", ""digital_intention_signal""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 2, ""digital_action_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_ecommerce_order_flow"": 2, ""llm_match_high_confidence"": 2}","{""recent_step_success_supports_positive"": 2}","stage=steady; events=2; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_action_signal,digital_intention_signal"
5,2,21601.0,221601,steady,0,"[""recent_failure"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}","{""recent_success"": 2, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2}","{""recent_step_success_supports_positive"": 2, ""step_failure_under_friction"": 1}","stage=steady; events=3; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=recent_failure,digital_action_signal,digital_status_signal; top_positive=recent_success,digital_action_signal,digital_status_signal"
6,2,21601.0,221601,steady,0,[],"[""digital_action_signal"", ""digital_status_signal"", ""digital_intention_signal""]","[""recent_step_success_supports_positive"", ""supportive_context_or_success_signal""]",{},"{""recent_success"": 2, ""digital_action_signal"": 3, ""digital_status_signal"": 3, ""digital_intention_signal"": 3, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""recent_failure"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 2, ""supportive_context_or_success_signal"": 1}","stage=steady; events=3; top_primary=recent_step_success_supports_positive,supportive_context_or_success_signal; top_negative=none; top_positive=digital_action_signal,digital_status_signal,digital_intention_signal"
1,4,21601.0,421601,shock,1,"[""high_friction"", ""recent_failure"", ""digital_action_signal""]","[""high_friction"", ""recent_success"", ""digital_action_signal""]","[""step_failure_under_friction"", ""recent_step_success_supports_positive""]","{""high_friction"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}","{""high_friction"": 1, ""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_high_confidence"": 1}","{""step_failure_under_friction"": 1, ""recent_step_success_supports_positive"": 1}","stage=shock; events=2; top_primary=step_failure_under_friction,recent_step_success_supports_positive; top_negative=high_friction,recent_failure,digital_action_signal; top_positive=high_friction,recent_success,digital_action_signal"
2,4,21601.0,421601,shock,1,[],"[""high_friction"", ""digital_action_signal"", ""digital_status_signal""]","[""supportive_context_or_success_signal"", ""recent_step_success_supports_positive""]",{},"{""high_friction"": 2, ""recent_failure"": 1, ""digital_action_signal"": 2, ""digital_status_signal"": 2, ""digital_intention_signal"": 2, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""recent_success"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""supportive_context_or_success_signal"": 1, ""recent_step_success_supports_positive"": 1}","stage=shock; events=2; top_primary=supportive_context_or_success_signal,recent_step_success_supports_positive; top_negative=none; top_positive=high_friction,digital_action_signal,digital_status_signal"
3,4,21601.0,421601,shock,1,"[""high_friction"", ""recent_success"", ""digital_action_signal""]",[],"[""low_trust_amplified_negative""]","{""high_friction"": 3, ""recent_success"": 3, ""digital_action_signal"": 3, ""digital_status_signal"": 3, ""digital_intention_signal"": 3, ""match_random_fallback"": 3, ""scenario_ecommerce_order_flow"": 3, ""llm_match_low_confidence"": 1}",{},"{""low_trust_amplified_negative"": 3}","stage=shock; events=3; top_primary=low_trust_amplified_negative; top_negative=high_friction,recent_success,digital_action_signal; top_positive=none"
4,4,21601.0,421601,shock,1,"[""high_friction"", ""digital_action_signal"", ""digital_intention_signal""]",[],"[""high_friction_with_low_buffer"", ""step_failure_under_friction""]","{""high_friction"": 2, ""recent_success"": 1, ""digital_action_signal"": 2, ""digital_intention_signal"": 2, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 2, ""llm_match_high_confidence"": 1, ""recent_failure"": 1, ""digital_status_signal"": 1, ""match_rule_fallback"": 1}",{},"{""high_friction_with_low_buffer"": 1, ""step_failure_under_friction"": 1}","stage=shock; events=2; top_primary=high_friction_with_low_buffer,step_failure_under_friction; top_negative=high_friction,digital_action_signal,digital_intention_signal; top_positive=none"
5,4,21601.0,421601,shock,1,"[""high_friction"", ""recent_failure"", ""digital_action_signal""]",[],"[""step_failure_under_friction""]","{""high_friction"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}",{},"{""step_failure_under_friction"": 1}","stage=shock; events=1; top_primary=step_failure_under_friction; top_negative=high_friction,recent_failure,digital_action_signal; top_positive=none"
6,4,21601.0,421601,shock,1,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=shock; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
1,6,21601.0,621601,recovery,2,[],"[""high_support"", ""recent_success"", ""digital_action_signal""]","[""recent_step_success_supports_positive""]",{},"{""high_support"": 1, ""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=recovery; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=high_support,recent_success,digital_action_signal"
2,6,21601.0,621601,recovery,2,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=recovery; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
3,6,21601.0,621601,recovery,2,"[""high_support"", ""recent_failure"", ""digital_action_signal""]","[""high_support"", ""recent_failure"", ""digital_action_signal""]","[""step_failure_under_friction"", ""support_buffer_offsets_friction""]","{""high_support"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_low_confidence"": 1}","{""high_support"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_rule_fallback"": 1, ""scenario_social_contact_coordination"": 1}","{""step_failure_under_friction"": 1, ""support_buffer_offsets_friction"": 1}","stage=recovery; events=2; top_primary=step_failure_under_friction,support_buffer_offsets_friction; top_negative=high_support,recent_failure,digital_action_signal; top_positive=high_support,recent_failure,digital_action_signal"
4,6,21601.0,621601,recovery,2,"[""high_support"", ""recent_failure"", ""digital_action_signal""]","[""high_support"", ""recent_success"", ""digital_action_signal""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""high_support"": 1, ""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_high_confidence"": 1}","{""high_support"": 2, ""recent_success"": 2, ""digital_action_signal"": 2, ""digital_status_signal"": 1, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 2, ""scenario_ecommerce_order_flow"": 1}","{""step_failure_under_friction"": 1, ""recent_step_success_supports_positive"": 2}","stage=recovery; events=3; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=high_support,recent_failure,digital_action_signal; top_positive=high_support,recent_success,digital_action_signal"
5,6,21601.0,621601,recovery,2,[],"[""high_support"", ""recent_success"", ""digital_action_signal""]","[""recent_step_success_supports_positive""]",{},"{""high_support"": 1, ""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_step_success_supports_positive"": 1}","stage=recovery; events=1; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=high_support,recent_success,digital_action_signal"
6,6,21601.0,621601,recovery,2,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=recovery; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
