behavior_class,count,pct
other_unclear,974,18.78858024691358
relaxation_reflection_emotion,657,12.67361111111111
meal_preparation_cooking,609,11.747685185185185
sleep_environment_setup,605,11.670524691358025
mobility_commute_transition,404,7.79320987654321
meal_consumption_dining,401,7.735339506172839
sleep_transition_and_sleep,394,7.600308641975309
shopping_planning_budget_inventory,212,4.089506172839506
home_environment_management,182,3.5108024691358026
planning_general_admin,160,3.0864197530864197
digital_device_account_ops,105,2.025462962962963
shopping_execution_procurement,103,1.986882716049383
meal_cleanup,101,1.9483024691358024
morning_routine_hygiene,96,1.8518518518518516
social_contact_communication,95,1.832561728395062
work_task_productive,86,1.6589506172839508
