step,day,t,decision_attempt_count,event_emitted_count,event_emit_rate_in_attempts,stage_min_event_force_count
22501,0,22501,6.0,0.0,0.0,0.0
23401,0,23401,6.0,0.0,0.0,0.0
24301,0,24301,6.0,0.0,0.0,0.0
25201,0,25201,6.0,0.0,0.0,0.0
26101,0,26101,4.0,0.0,0.0,0.0
27001,0,27001,4.0,0.0,0.0,0.0
27901,0,27901,5.0,0.0,0.0,0.0
28801,0,28801,5.0,0.0,0.0,0.0
29701,0,29701,5.0,0.0,0.0,0.0
30601,0,30601,4.0,0.0,0.0,0.0
31501,0,31501,3.0,0.0,0.0,0.0
32401,0,32401,2.0,0.0,0.0,0.0
33301,0,33301,3.0,0.0,0.0,0.0
34201,0,34201,3.0,0.0,0.0,0.0
35101,0,35101,3.0,0.0,0.0,0.0
36001,0,36001,2.0,0.0,0.0,0.0
36901,0,36901,2.0,0.0,0.0,0.0
37801,0,37801,0.0,0.0,0.0,0.0
38701,0,38701,1.0,0.0,0.0,0.0
39601,0,39601,1.0,0.0,0.0,0.0
40501,0,40501,1.0,0.0,0.0,0.0
41401,0,41401,1.0,0.0,0.0,0.0
42301,0,42301,1.0,0.0,0.0,0.0
43201,0,43201,1.0,0.0,0.0,0.0
44101,0,44101,1.0,0.0,0.0,0.0
45001,0,45001,0.0,0.0,0.0,0.0
45901,0,45901,0.0,0.0,0.0,0.0
46801,0,46801,0.0,0.0,0.0,0.0
47701,0,47701,1.0,0.0,0.0,0.0
48601,0,48601,1.0,0.0,0.0,0.0
49501,0,49501,1.0,0.0,0.0,0.0
50401,0,50401,1.0,0.0,0.0,0.0
51301,0,51301,3.0,0.0,0.0,0.0
52201,0,52201,1.0,0.0,0.0,0.0
53101,0,53101,1.0,0.0,0.0,0.0
54001,0,54001,2.0,0.0,0.0,0.0
54901,0,54901,2.0,0.0,0.0,0.0
55801,0,55801,1.0,0.0,0.0,0.0
56701,0,56701,1.0,0.0,0.0,0.0
57601,0,57601,0.0,0.0,0.0,0.0
58501,0,58501,2.0,0.0,0.0,0.0
59401,0,59401,2.0,0.0,0.0,0.0
60301,0,60301,1.0,0.0,0.0,0.0
61201,0,61201,2.0,2.0,1.0,2.0
62101,0,62101,0.0,0.0,0.0,0.0
63001,0,63001,0.0,0.0,0.0,0.0
63901,0,63901,0.0,0.0,0.0,0.0
64801,0,64801,2.0,0.0,0.0,0.0
65701,0,65701,2.0,0.0,0.0,0.0
66601,0,66601,2.0,0.0,0.0,0.0
67501,0,67501,2.0,0.0,0.0,0.0
68401,0,68401,2.0,0.0,0.0,0.0
69301,0,69301,2.0,0.0,0.0,0.0
70201,0,70201,2.0,0.0,0.0,0.0
71101,0,71101,1.0,0.0,0.0,0.0
72001,0,72001,1.0,0.0,0.0,0.0
72901,0,72901,3.0,0.0,0.0,0.0
73801,0,73801,3.0,0.0,0.0,0.0
74701,0,74701,1.0,0.0,0.0,0.0
75601,0,75601,0.0,0.0,0.0,0.0
76501,0,76501,0.0,0.0,0.0,0.0
77401,0,77401,0.0,0.0,0.0,0.0
78301,0,78301,2.0,0.0,0.0,0.0
79201,0,79201,1.0,0.0,0.0,0.0
80101,0,80101,1.0,0.0,0.0,0.0
81001,0,81001,1.0,0.0,0.0,0.0
81901,0,81901,0.0,0.0,0.0,0.0
82801,0,82801,1.0,0.0,0.0,0.0
83701,0,83701,1.0,0.0,0.0,0.0
84601,0,84601,0.0,0.0,0.0,0.0
85501,0,85501,1.0,0.0,0.0,0.0
100001,1,1,3.0,0.0,0.0,0.0
100901,1,901,3.0,0.0,0.0,0.0
101801,1,1801,2.0,0.0,0.0,0.0
102701,1,2701,1.0,0.0,0.0,0.0
103601,1,3601,4.0,0.0,0.0,0.0
104501,1,4501,2.0,0.0,0.0,0.0
105401,1,5401,1.0,0.0,0.0,0.0
106301,1,6301,2.0,0.0,0.0,0.0
107201,1,7201,3.0,0.0,0.0,0.0
108101,1,8101,3.0,0.0,0.0,0.0
109001,1,9001,3.0,0.0,0.0,0.0
109901,1,9901,5.0,0.0,0.0,0.0
110801,1,10801,3.0,0.0,0.0,0.0
111701,1,11701,2.0,0.0,0.0,0.0
