agent_id,total,meal,meal_pct,sleep,sleep_pct,other,other_pct,mobility,mobility_pct
500000210,36,11,30.56,5,13.89,19,52.78,1,2.78
500000747,36,9,25.0,7,19.44,20,55.56,0,0.0
500002906,36,11,30.56,9,25.0,16,44.44,0,0.0
500003197,36,6,16.67,8,22.22,22,61.11,0,0.0
500007321,36,14,38.89,7,19.44,15,41.67,0,0.0
500008331,36,10,27.78,13,36.11,13,36.11,0,0.0
500019335,36,10,27.78,3,8.33,22,61.11,1,2.78
500019748,36,9,25.0,13,36.11,14,38.89,0,0.0
500020313,36,13,36.11,8,22.22,14,38.89,1,2.78
500021394,36,13,36.11,8,22.22,15,41.67,0,0.0
