slug	scope	title_en	title_zh	method_family	study_design	scenario	friction_focus	relevance	download_status
older-digital-technology-experiences	older_adults	Older adults' digital technology experiences: a qualitative study	老年人的数字技术使用体验：一项定性研究	qualitative	semi_structured_interviews	everyday_digital_life	usability_learning_support	core	downloaded_pdf
older-web-based-services	older_adults	Barriers to and Facilitators of Older People's Engagement With Web-Based Services: Qualitative Study of Adults Aged >75 Years	老年人参与网络服务的障碍与促进因素：针对75岁以上人群的定性研究	qualitative	qualitative_interviews	web_based_public_and_daily_services	service_access_support	core	downloaded_pdf
older-tablet-focus-group	older_adults	Older Adults Perceptions of Technology and Barriers to Interacting with Tablet Computers: A Focus Group Study	老年人对技术的看法以及与平板电脑交互的障碍：一项焦点小组研究	qualitative	focus_groups	tablet_use_and_device_adoption	usability_learning_anxiety	core	downloaded_pdf
older-alexa-exercise	older_adults	Barriers and enablers for older adults participating in a home-based pragmatic exercise program delivered and monitored by Amazon Alexa: a qualitative study	老年人参与由亚马逊 Alexa 提供和监测的居家实用运动项目的障碍与促进因素：一项定性研究	qualitative	qualitative_interviews	voice_interface_and_home_exercise	voice_ui_feedback_adoption	supporting	downloaded_pdf
older-digital-health-services-preferences	older_adults	Older adults' preferences in the utilization of digital health and social services: a qualitative analysis of responses to open-ended questions	老年人对数字健康与社会服务使用的偏好：对开放式问答的一项定性分析	qualitative	open_ended_response_analysis	digital_health_and_social_services	service_design_accessibility	core	downloaded_pdf
older-smartwatch-acceptance	older_adults	Community-dwelling older adults' acceptance of smartwatches for health and location tracking	社区居住老年人对用于健康与位置追踪的智能手表的接受度	mixed_methods	device_trial_plus_interview_and_questionnaire	wearables_and_tracking	device_acceptance_comfort_readability	supporting	downloaded_pdf
older-self-perception-public-services	older_adults	Older adults' self-perception, technology anxiety, and intention to use digital public services	老年人的自我感知、技术焦虑与使用数字公共服务的意愿	quantitative	survey_sem	digital_public_services	psychological_friction_technology_anxiety	core	downloaded_pdf
older-migrants-internet-barriers	older_adults	Health and self-perceived barriers to internet use among older migrants: a population-based study	老年移民的健康状况与自我感知的互联网使用障碍：一项基于人群的研究	quantitative	population_survey	internet_use_and_migrant_aging	access_cost_complexity_health	core	downloaded_pdf
older-digital-divide-health-us	older_adults	Digital divide as a determinant of health in the U.S. older adults: prevalence, trends, and risk factors	美国老年人数字鸿沟作为健康决定因素：现状、趋势与风险因素	quantitative	secondary_survey_analysis	digital_divide_and_health	access_use_cognitive_gaps	core	downloaded_pdf
older-digital-exclusion-loneliness	older_adults	Digital exclusion and loneliness in older people: panel data analysis of three longitudinal cohort studies	老年人的数字排斥与孤独：三项纵向队列研究的面板数据分析	quantitative	panel_data_analysis	digital_exclusion_and_wellbeing	social_disconnection_exclusion	core	downloaded_pdf
