category	slug	title_en	title_zh	page_url	pdf_url	notes
older_adults	older-digital-technology-experiences	Older adults' digital technology experiences: a qualitative study	老年人的数字技术使用体验：一项定性研究	https://bmcdigitalhealth.biomedcentral.com/articles/10.1186/s44247-025-00163-7		BMC open access
older_adults	older-web-based-services	Barriers to and Facilitators of Older People's Engagement With Web-Based Services: Qualitative Study of Adults Aged >75 Years	老年人参与网络服务的障碍与促进因素：针对75岁以上人群的定性研究	https://aging.jmir.org/2024/1/e46522		JMIR open access
older_adults	older-tablet-focus-group	Older Adults Perceptions of Technology and Barriers to Interacting with Tablet Computers: A Focus Group Study	老年人对技术的看法以及与平板电脑交互的障碍：一项焦点小组研究	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.01687/full	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.01687/pdf	Frontiers open access
older_adults	older-alexa-exercise	Barriers and enablers for older adults participating in a home-based pragmatic exercise program delivered and monitored by Amazon Alexa: a qualitative study	老年人参与由亚马逊 Alexa 提供和监测的居家实用运动项目的障碍与促进因素：一项定性研究	https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-022-02963-2		BMC open access
older_adults	older-digital-health-services-preferences	Older adults' preferences in the utilization of digital health and social services: a qualitative analysis of responses to open-ended questions	老年人对数字健康与社会服务使用的偏好：对开放式问答的一项定性分析	https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-11564-1		BMC open access
older_adults	older-smartwatch-acceptance	Community-dwelling older adults' acceptance of smartwatches for health and location tracking	社区居住老年人对用于健康与位置追踪的智能手表的接受度	https://pmc.ncbi.nlm.nih.gov/articles/PMC10078487/	https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/58/ee/PMC10078487.tar.gz	PMC open access; PDF extracted from PMC OA package
older_adults	older-self-perception-public-services	Older adults' self-perception, technology anxiety, and intention to use digital public services	老年人的自我感知、技术焦虑与使用数字公共服务的意愿	https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-024-21088-2		BMC open access
older_adults	older-migrants-internet-barriers	Health and self-perceived barriers to internet use among older migrants: a population-based study	老年移民的健康状况与自我感知的互联网使用障碍：一项基于人群的研究	https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12874-x		BMC open access
older_adults	older-digital-divide-health-us	Digital divide as a determinant of health in the U.S. older adults: prevalence, trends, and risk factors	美国老年人数字鸿沟作为健康决定因素：现状、趋势与风险因素	https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-024-05612-y		BMC open access
older_adults	older-digital-exclusion-loneliness	Digital exclusion and loneliness in older people: panel data analysis of three longitudinal cohort studies	老年人的数字排斥与孤独：三项纵向队列研究的面板数据分析	https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-025-06337-2		BMC open access
older_adults	older-digital-health-era	Older adults in the digital health era: insights on the digital health related knowledge, habits and attitudes of the 65 year and older population	数字健康时代的老年人：关于65岁及以上人群数字健康相关知识、习惯与态度的洞见	https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-023-04437-5		BMC open access
older_adults	older-digital-exclusion-cognitive-impairment	Digital exclusion and cognitive impairment in older people: findings from five longitudinal studies	老年人的数字排斥与认知受损：来自五项纵向研究的发现	https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-024-05026-w		BMC open access
older_adults	older-health-purpose-qualitative	Older adults' experiences and perceptions of using digital technology for health purposes: A qualitative study	老年人出于健康目的使用数字技术的经验与感知：一项定性研究	https://www.sciencedirect.com/science/article/pii/S0197457225003337		Publisher page likely paywalled
older_adults	older-modes-relating-icts	Modes of relating to the new ICTs among older internet users: a qualitative approach	老年网民与新型信息通信技术的关系模式：一项定性研究	https://repositorio.iscte-iul.pt/handle/10071/26730	https://repositorio.iscte-iul.pt/bitstream/10071/26730/1/article_89371.pdf	ISCTE repository accepted version
older_adults	older-internet-use-wellbeing	Internet use among older adults: Determinants of usage and impacts on individuals' well-being	老年人的互联网使用：使用决定因素及其对个体福祉的影响	https://www.sciencedirect.com/science/article/pii/S0747563222003582		Publisher page likely paywalled
older_adults	older-nuanced-internet-use	A nuanced understanding of Internet use and non-use among the elderly	对老年人互联网使用与不使用的细致理解	https://eprints.lse.ac.uk/59995/	https://researchonline.lse.ac.uk/id/eprint/59995/1/Helsper_a_nuanced_understanding_of_Internet_use.pdf	LSE repository author version
older_adults	older-digital-divide-grown-old	The digital divide has grown old: Determinants of a digital divide among seniors	数字鸿沟已“老龄化”：老年群体数字鸿沟的决定因素	https://journals.sagepub.com/doi/10.1177/1461444814538648	https://journals.sagepub.com/doi/pdf/10.1177/1461444814538648	Publisher PDF may require access
older_adults	older-social-networking-obstacles	Obstacles to social networking website use among older adults	老年人使用社交网站的障碍	https://www.sciencedirect.com/science/article/pii/S0747563212003330		Publisher page likely paywalled
general	rethinking-online-friction	Rethinking online friction in the information society	重新思考信息社会中的在线摩擦	https://aisel.aisnet.org/jit/vol38/iss1/1/		AISel open access
general	digital-interface-design-power	Digital Interface Design and Power: Friction, Threshold, Transition	数字界面设计与权力：摩擦、阈限与转变	https://eprints.ncl.ac.uk/246964		Newcastle repository open access
general	politics-of-data-friction	The politics of data friction	数据摩擦的政治性	https://eprints.whiterose.ac.uk/id/eprint/120075/		White Rose repository open access
general	science-friction	Science friction: data, metadata, and collaboration	科学摩擦：数据、元数据与协作	https://pubmed.ncbi.nlm.nih.gov/22164720/		PubMed metadata page
general	disciplining-change-frictions	Disciplining Change, Displacing Frictions. Two Structural Dimensions of Digital Circulation Across Land Registry Database Integration	规训变迁、转移摩擦：土地登记数据库整合中数字流通的两个结构维度	https://tecnoscienza.unibo.it/article/view/17326		Tecnoscienza open access
general	data-visualisation-data-frictions	Designing a Data Visualisation for Interdisciplinary Scientists. How to Transparently Convey Data Frictions?	为跨学科科学家设计数据可视化：如何透明传达数据摩擦？	https://dl.eusset.eu/items/fe007295-5919-4799-9819-a81387da3053		Repository item page
general	lightweight-misinformation-interventions	Exploring Lightweight Interventions at Posting Time to Reduce the Sharing of Misinformation on Social Media	探索在发布时刻实施的轻量干预：减少社交媒体上的错误信息分享	https://arxiv.org/abs/2101.11824	https://arxiv.org/pdf/2101.11824.pdf	arXiv preprint corresponding to the ACM paper
general	accuracy-prompts-misinformation	Accuracy prompts are a replicable and generalizable approach for reducing the spread of misinformation	准确性提示是一种可复制且可推广的减少错误信息传播的方法	https://www.nature.com/articles/s41467-022-30073-5		Nature open access
